COUNTY,POPULATION_2010,CONFIRMED,DEATHS,ICU BED COUNT,date2,unixtime
ORANGE,3010232,14,0,622,Sun Mar 15 21:09:21 PDT 2020,1584331761
LOS ANGELES,9818605,69,1,2192,Sun Mar 15 21:09:21 PDT 2020,1584331761
SANTA CLARA,1781642,114,2,438,Sun Mar 15 21:09:21 PDT 2020,1584331761
SAN FRANCISCO,805235,31,0,334,Sun Mar 15 21:09:21 PDT 2020,1584331761
SAN DIEGO,3095313,10,0,598,Sun Mar 15 21:09:21 PDT 2020,1584331761
MARIN,252409,4,0,30,Sun Mar 15 21:09:21 PDT 2020,1584331761
SONOMA,483878,3,0,72,Sun Mar 15 21:09:21 PDT 2020,1584331761
SACRAMENTO,1418788,28,1,376,Sun Mar 15 21:09:21 PDT 2020,1584331761
SOLANO,413344,12,0,82,Sun Mar 15 21:09:21 PDT 2020,1584331761
NAPA,136484,1,0,48,Sun Mar 15 21:09:21 PDT 2020,1584331761
HUMBOLDT,134623,1,0,26,Sun Mar 15 21:09:21 PDT 2020,1584331761
ALAMEDA,1510271,29,0,291,Sun Mar 15 21:09:21 PDT 2020,1584331761
PLACER,348432,8,1,58,Sun Mar 15 21:09:21 PDT 2020,1584331761
SAN MATEO,718451,32,0,96,Sun Mar 15 21:09:21 PDT 2020,1584331761
CONTRA COSTA,1049025,25,0,169,Sun Mar 15 21:09:21 PDT 2020,1584331761
YOLO,200849,2,0,14,Sun Mar 15 21:09:21 PDT 2020,1584331761
MADERA,150865,1,0,52,Sun Mar 15 21:09:21 PDT 2020,1584331761
SANTA CRUZ,262382,2,0,13,Sun Mar 15 21:09:21 PDT 2020,1584331761
FRESNO,930450,2,0,149,Sun Mar 15 21:09:21 PDT 2020,1584331761
RIVERSIDE,2189641,10,0,378,Sun Mar 15 21:09:21 PDT 2020,1584331761
SHASTA,177223,1,0,70,Sun Mar 15 21:09:21 PDT 2020,1584331761
VENTURA,823318,5,0,131,Sun Mar 15 21:09:21 PDT 2020,1584331761
LAKE,703462,3,0,8,Sun Mar 15 21:09:21 PDT 2020,1584331761
STANISLAUS,514453,2,0,92,Sun Mar 15 21:09:21 PDT 2020,1584331761
ORANGE,372813,6,0,622,Sun Mar 15 21:09:21 PDT 2020,1584331761
TULARE,442179,3,0,65,Sun Mar 15 21:09:21 PDT 2020,1584331761
ORANGE,1145956,3,1,622,Sun Mar 15 21:09:21 PDT 2020,1584331761
SAN LUIS OBISPO,269637,2,0,48,Sun Mar 15 21:09:21 PDT 2020,1584331761
WHITESIDE,58498,1,0,80,Sun Mar 15 21:09:21 PDT 2020,1584331761
