,Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered,Cases PerCapita,Deaths PerCapita,Serious PerCapita,Critical PerCapita,Recovered PerCapita,Deaths per Death plus Rec,date
0,Afghanistan,34656032,7,0,,,,0.00000020,0.00000000,,,,,2020-03-13 12:03:24.524335
1,Albania,2876101,23,1,,,,0.00000800,0.00000035,,,,,2020-03-13 12:03:24.524335
2,Andorra,77281,1,0,,,,0.00001294,0.00000000,,,,,2020-03-13 12:03:24.524335
3,Argentina,43847430,31,1,,,,0.00000071,0.00000002,,,,,2020-03-13 12:03:24.524335
4,Armenia,2924816,1,0,,,,0.00000034,0.00000000,,,,,2020-03-13 12:03:24.524335
5,Australia,24127159,156,3,,,26.00000000,0.00000647,0.00000012,,,0.00000108,0.10344828,2020-03-13 12:03:24.524335
6,Austria,8747358,422,1,,,6.00000000,0.00004824,0.00000011,,,0.00000069,0.14285714,2020-03-13 12:03:24.524335
7,Azerbaijan,9762274,11,1,,,3.00000000,0.00000113,0.00000010,,,0.00000031,0.25000000,2020-03-13 12:03:24.524335
8,Belgium,11348159,399,3,,,1.00000000,0.00003516,0.00000026,,,0.00000009,0.75000000,2020-03-13 12:03:24.524335
9,Bangladesh,162951560,3,0,,,,0.00000002,0.00000000,,,,,2020-03-13 12:03:24.524335
10,Bulgaria,7127822,23,1,,,,0.00000323,0.00000014,,,,,2020-03-13 12:03:24.524335
11,Bahrain,1425171,197,0,,1.00000000,35.00000000,0.00013823,0.00000000,,0.00000070,0.00002456,0.00000000,2020-03-13 12:03:24.524335
12,Belarus,9507120,21,0,,,3.00000000,0.00000221,0.00000000,,,0.00000032,0.00000000,2020-03-13 12:03:24.524335
13,Brazil,207652865,76,0,,,,0.00000037,0.00000000,,,,,2020-03-13 12:03:24.524335
14,Bhutan,797765,1,0,,,,0.00000125,0.00000000,,,,,2020-03-13 12:03:24.524335
15,Canada,36286425,109,1,,1.00000000,11.00000000,0.00000300,0.00000003,,0.00000003,0.00000030,0.08333333,2020-03-13 12:03:24.524335
16,Switzerland,8372098,854,7,,,4.00000000,0.00010201,0.00000084,,,0.00000048,0.63636364,2020-03-13 12:03:24.524335
17,Chile,17909754,33,0,,,,0.00000184,0.00000000,,,,,2020-03-13 12:03:24.524335
18,China,1378665000,80813,3176,4020.00000000,,64111.00000000,0.00005862,0.00000230,0.00000292,,0.00004650,0.04720080,2020-03-13 12:03:24.524335
19,Cameroon,23439189,2,0,,,,0.00000009,0.00000000,,,,,2020-03-13 12:03:24.524335
20,Colombia,48653419,9,0,,,,0.00000018,0.00000000,,,,,2020-03-13 12:03:24.524335
21,Costa Rica,4857274,23,0,1.00000000,,,0.00000474,0.00000000,0.00000021,,,,2020-03-13 12:03:24.524335
22,Cyprus,1170125,14,0,,,,0.00001196,0.00000000,,,,,2020-03-13 12:03:24.524335
23,Czech Republic,10561633,116,0,2.00000000,0.00000000,0.00000000,0.00001098,0.00000000,0.00000019,0.00000000,0.00000000,,2020-03-13 12:03:24.524335
24,Germany,82667685,3116,6,,2.00000000,46.00000000,0.00003769,0.00000007,,0.00000002,0.00000056,0.11538462,2020-03-13 12:03:24.524335
25,Denmark,5731118,788,0,,,,0.00013749,0.00000000,,,,,2020-03-13 12:03:24.524335
26,Dominican Republic,10648791,5,0,,,,0.00000047,0.00000000,,,,,2020-03-13 12:03:24.524335
27,Algeria,40606052,24,1,,,10.00000000,0.00000059,0.00000002,,,0.00000025,0.09090909,2020-03-13 12:03:24.524335
28,Ecuador,16385068,19,0,,1.00000000,,0.00000116,0.00000000,,0.00000006,,,2020-03-13 12:03:24.524335
29,Egypt,95688681,80,2,,,27.00000000,0.00000084,0.00000002,,,0.00000028,0.06896552,2020-03-13 12:03:24.524335
30,Spain,46443959,4209,120,190.00000000,,189.00000000,0.00009063,0.00000258,0.00000409,,0.00000407,0.38834951,2020-03-13 12:03:24.524335
31,Estonia,1316481,41,0,,,0.00000000,0.00003114,0.00000000,,,0.00000000,,2020-03-13 12:03:24.524335
32,Finland,5495096,109,0,,,1.00000000,0.00001984,0.00000000,,,0.00000018,0.00000000,2020-03-13 12:03:24.524335
33,France,66896109,3661,79,154.00000000,,12.00000000,0.00005473,0.00000118,0.00000230,,0.00000018,0.86813187,2020-03-13 12:03:24.524335
34,United Kingdom,65637239,590,10,20.00000000,,12.00000000,0.00000899,0.00000015,0.00000030,,0.00000018,0.45454545,2020-03-13 12:03:24.524335
35,Georgia,3719300,25,0,1.00000000,,,0.00000672,0.00000000,0.00000027,,,,2020-03-13 12:03:24.524335
36,Gibraltar,34408,1,0,1.00000000,,,0.00002906,0.00000000,0.00002906,,,,2020-03-13 12:03:24.524335
37,Greece,10746740,117,1,2.00000000,,,0.00001089,0.00000009,0.00000019,,,,2020-03-13 12:03:24.524335
38,Hong Kong,7346700,132,4,2.00000000,2.00000000,75.00000000,0.00001797,0.00000054,0.00000027,0.00000027,0.00001021,0.05063291,2020-03-13 12:03:24.524335
39,Honduras,9112867,2,0,,,,0.00000022,0.00000000,,,,,2020-03-13 12:03:24.524335
40,Croatia,4170600,27,0,,,1.00000000,0.00000647,0.00000000,,,0.00000024,0.00000000,2020-03-13 12:03:24.524335
41,Hungary,9817958,19,0,,,0.00000000,0.00000194,0.00000000,,,0.00000000,,2020-03-13 12:03:24.524335
42,Indonesia,261115456,69,4,,,5.00000000,0.00000026,0.00000002,,,0.00000002,0.44444444,2020-03-13 12:03:24.524335
43,India,1324171354,73,1,,,4.00000000,0.00000006,0.00000000,,,0.00000000,0.20000000,2020-03-13 12:03:24.524335
44,Ireland,4773095,70,1,,,,0.00001467,0.00000021,,,,,2020-03-13 12:03:24.524335
45,Iran,80277428,11364,514,,,3529.00000000,0.00014156,0.00000640,,,0.00004396,0.12713332,2020-03-13 12:03:24.524335
46,Iraq,37202572,83,8,,,15.00000000,0.00000223,0.00000022,,,0.00000040,0.34782609,2020-03-13 12:03:24.524335
47,Iceland,334252,117,0,,,,0.00035004,0.00000000,,,,,2020-03-13 12:03:24.524335
48,Israel,8547100,109,0,2.00000000,,3.00000000,0.00001275,0.00000000,0.00000023,,0.00000035,0.00000000,2020-03-13 12:03:24.524335
49,Italy,60600590,17660,1266,1328.00000000,,1439.00000000,0.00029142,0.00002089,0.00002191,,0.00002375,0.46802218,2020-03-13 12:03:24.524335
50,Jamaica,2881355,8,0,,,,0.00000278,0.00000000,,,,,2020-03-13 12:03:24.524335
51,Jordan,9455802,1,0,,,1.00000000,0.00000011,0.00000000,,,0.00000011,0.00000000,2020-03-13 12:03:24.524335
52,Japan,126994511,690,19,29.00000000,,59.00000000,0.00000543,0.00000015,0.00000023,,0.00000046,0.24358974,2020-03-13 12:03:24.524335
53,Cambodia,15762370,5,0,,,1.00000000,0.00000032,0.00000000,,,0.00000006,0.00000000,2020-03-13 12:03:24.524335
54,South Korea,51245707,7979,67,,36.00000000,510.00000000,0.00015570,0.00000131,,0.00000070,0.00000995,0.11611785,2020-03-13 12:03:24.524335
55,Kuwait,4052584,100,0,4.00000000,,5.00000000,0.00002468,0.00000000,0.00000099,,0.00000123,0.00000000,2020-03-13 12:03:24.524335
56,Lebanon,6006668,68,3,,2.00000000,,0.00001132,0.00000050,,0.00000033,,,2020-03-13 12:03:24.524335
57,Liechtenstein,37666,4,0,,,,0.00010620,0.00000000,,,,,2020-03-13 12:03:24.524335
58,Sri Lanka,21203000,2,0,,,1.00000000,0.00000009,0.00000000,,,0.00000005,0.00000000,2020-03-13 12:03:24.524335
59,Lithuania,2872298,3,0,,,,0.00000104,0.00000000,,,,,2020-03-13 12:03:24.524335
60,Luxembourg,582972,26,0,,,,0.00004460,0.00000000,,,,,2020-03-13 12:03:24.524335
61,Latvia,1960424,17,0,,,,0.00000867,0.00000000,,,,,2020-03-13 12:03:24.524335
62,Morocco,35276786,6,1,,,,0.00000017,0.00000003,,,,,2020-03-13 12:03:24.524335
63,Monaco,38499,2,0,,,,0.00005195,0.00000000,,,,,2020-03-13 12:03:24.524335
64,Moldova,3552000,6,0,,,,0.00000169,0.00000000,,,,,2020-03-13 12:03:24.524335
65,Maldives,417492,8,0,,,,0.00001916,0.00000000,,,,,2020-03-13 12:03:24.524335
66,Mexico,127540423,12,0,1.00000000,,4.00000000,0.00000009,0.00000000,0.00000001,,0.00000003,0.00000000,2020-03-13 12:03:24.524335
67,Malta,436947,12,0,,,,0.00002746,0.00000000,,,,,2020-03-13 12:03:24.524335
68,Malaysia,31187265,158,0,3.00000000,,32.00000000,0.00000507,0.00000000,0.00000010,,0.00000103,0.00000000,2020-03-13 12:03:24.524335
69,Nigeria,185989640,2,0,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-13 12:03:24.524335
70,Netherlands,17018408,804,5,1.00000000,,2.00000000,0.00004724,0.00000029,0.00000006,,0.00000012,0.71428571,2020-03-13 12:03:24.524335
71,Norway,5232929,876,1,,,,0.00016740,0.00000019,,,,,2020-03-13 12:03:24.524335
72,Nepal,28982771,1,0,,,1.00000000,0.00000003,0.00000000,,,0.00000003,0.00000000,2020-03-13 12:03:24.524335
73,New Zealand,4692700,5,0,,,,0.00000107,0.00000000,,,,,2020-03-13 12:03:24.524335
74,Oman,4424762,19,0,0.00000000,0.00000000,9.00000000,0.00000429,0.00000000,0.00000000,0.00000000,0.00000203,0.00000000,2020-03-13 12:03:24.524335
75,Pakistan,193203476,21,0,,,2.00000000,0.00000011,0.00000000,,,0.00000001,0.00000000,2020-03-13 12:03:24.524335
76,Panama,4034119,27,1,,,,0.00000669,0.00000025,,,,,2020-03-13 12:03:24.524335
77,Peru,31773839,22,0,,,,0.00000069,0.00000000,,,,,2020-03-13 12:03:24.524335
78,Philippines,103320222,52,5,1.00000000,,2.00000000,0.00000050,0.00000005,0.00000001,,0.00000002,0.71428571,2020-03-13 12:03:24.524335
79,Poland,37948016,64,1,2.00000000,0.00000000,0.00000000,0.00000169,0.00000003,0.00000005,0.00000000,0.00000000,1.00000000,2020-03-13 12:03:24.524335
80,Portugal,10324611,78,0,,,,0.00000755,0.00000000,,,,,2020-03-13 12:03:24.524335
81,Paraguay,6725308,6,0,1.00000000,,,0.00000089,0.00000000,0.00000015,,,,2020-03-13 12:03:24.524335
82,Qatar,2569804,262,0,,,,0.00010195,0.00000000,,,,,2020-03-13 12:03:24.524335
83,Romania,19705301,64,0,,,6.00000000,0.00000325,0.00000000,,,0.00000030,0.00000000,2020-03-13 12:03:24.524335
84,Saudi Arabia,32275687,62,0,,,1.00000000,0.00000192,0.00000000,,,0.00000003,0.00000000,2020-03-13 12:03:24.524335
85,Senegal,15411614,10,0,,,0.00000000,0.00000065,0.00000000,,,0.00000000,,2020-03-13 12:03:24.524335
86,Singapore,5607283,200,0,,11.00000000,97.00000000,0.00003567,0.00000000,,0.00000196,0.00001730,0.00000000,2020-03-13 12:03:24.524335
87,San Marino,33203,77,5,5.00000000,,,0.00231907,0.00015059,0.00015059,,,,2020-03-13 12:03:24.524335
88,Serbia,7057412,31,0,1.00000000,,,0.00000439,0.00000000,0.00000014,,,,2020-03-13 12:03:24.524335
89,Slovenia,2064845,96,0,0.00000000,0.00000000,0.00000000,0.00004649,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-13 12:03:24.524335
90,Sweden,9903122,727,1,,,,0.00007341,0.00000010,,,,,2020-03-13 12:03:24.524335
91,Togo,7606374,1,0,,,,0.00000013,0.00000000,,,,,2020-03-13 12:03:24.524335
92,Thailand,68863514,75,1,1.00000000,,35.00000000,0.00000109,0.00000001,0.00000001,,0.00000051,0.02777778,2020-03-13 12:03:24.524335
93,Tunisia,11403248,13,0,,,,0.00000114,0.00000000,,,,,2020-03-13 12:03:24.524335
94,Turkey,79512426,2,0,,,,0.00000003,0.00000000,,,,,2020-03-13 12:03:24.524335
95,Ukraine,45004645,3,0,,,,0.00000007,0.00000000,,,,,2020-03-13 12:03:24.524335
96,United States,323127513,1832,41,2.00000000,6.00000000,9.00000000,0.00000567,0.00000013,0.00000001,0.00000002,0.00000003,0.82000000,2020-03-13 12:03:24.524335
97,Vietnam,92701100,44,0,,,16.00000000,0.00000047,0.00000000,,,0.00000017,0.00000000,2020-03-13 12:03:24.524335
98,South Africa,55908865,16,0,,,,0.00000029,0.00000000,,,,,2020-03-13 12:03:24.524335
