,Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered,Cases PerCapita,Deaths PerCapita,Serious PerCapita,Critical PerCapita,Recovered PerCapita,Deaths per Death plus Rec,date
0,Afghanistan,34656032,20,0.00000000,,,,0.00000058,0.00000000,,,,,2020-03-15 21:09:30.862278
1,Albania,2876101,38,1.00000000,2.00000000,,,0.00001321,0.00000035,0.00000070,,,,2020-03-15 21:09:30.862278
2,Andorra,77281,1,0.00000000,,,,0.00001294,0.00000000,,,,,2020-03-15 21:09:30.862278
3,United Arab Emirates,9269612,86,0.00000000,,,23.00000000,0.00000928,0.00000000,,,0.00000248,0.00000000,2020-03-15 21:09:30.862278
4,Argentina,43847430,45,2.00000000,,,,0.00000103,0.00000005,,,,,2020-03-15 21:09:30.862278
5,Armenia,2924816,20,0.00000000,,,,0.00000684,0.00000000,,,,,2020-03-15 21:09:30.862278
6,Australia,24127159,262,3.00000000,,,27.00000000,0.00001086,0.00000012,,,0.00000112,0.10000000,2020-03-15 21:09:30.862278
7,Austria,8747358,800,1.00000000,,,6.00000000,0.00009146,0.00000011,,,0.00000069,0.14285714,2020-03-15 21:09:30.862278
8,Azerbaijan,9762274,19,1.00000000,,,3.00000000,0.00000195,0.00000010,,,0.00000031,0.25000000,2020-03-15 21:09:30.862278
9,Belgium,11348159,689,4.00000000,,,1.00000000,0.00006071,0.00000035,,,0.00000009,0.80000000,2020-03-15 21:09:30.862278
10,Bangladesh,162951560,5,0.00000000,,,,0.00000003,0.00000000,,,,,2020-03-15 21:09:30.862278
11,Bulgaria,7127822,41,2.00000000,,,,0.00000575,0.00000028,,,,,2020-03-15 21:09:30.862278
12,Bahrain,1425171,212,0.00000000,,2.00000000,60.00000000,0.00014875,0.00000000,,0.00000140,0.00004210,0.00000000,2020-03-15 21:09:30.862278
13,Belarus,9507120,27,0.00000000,,,3.00000000,0.00000284,0.00000000,,,0.00000032,0.00000000,2020-03-15 21:09:30.862278
14,Bolivia,10887882,10,,,,,0.00000092,,,,,,2020-03-15 21:09:30.862278
15,Brazil,207652865,200,0.00000000,,,1.00000000,0.00000096,0.00000000,,,0.00000000,0.00000000,2020-03-15 21:09:30.862278
16,Bhutan,797765,1,0.00000000,,,,0.00000125,0.00000000,,,,,2020-03-15 21:09:30.862278
17,Central African Republic,4594621,1,0.00000000,,,,0.00000022,0.00000000,,,,,2020-03-15 21:09:30.862278
18,Canada,36286425,264,1.00000000,,1.00000000,11.00000000,0.00000728,0.00000003,,0.00000003,0.00000030,0.08333333,2020-03-15 21:09:30.862278
19,Switzerland,8372098,1355,13.00000000,,,4.00000000,0.00016185,0.00000155,,,0.00000048,0.76470588,2020-03-15 21:09:30.862278
20,Chile,17909754,61,0.00000000,,,,0.00000341,0.00000000,,,,,2020-03-15 21:09:30.862278
21,China,1378665000,80844,3199.00000000,3226.00000000,,66911.00000000,0.00005864,0.00000232,0.00000234,,0.00004853,0.04562830,2020-03-15 21:09:30.862278
22,Cameroon,23439189,2,0.00000000,,,,0.00000009,0.00000000,,,,,2020-03-15 21:09:30.862278
23,Colombia,48653419,45,0.00000000,,,,0.00000092,0.00000000,,,,,2020-03-15 21:09:30.862278
24,Costa Rica,4857274,27,0.00000000,1.00000000,,,0.00000556,0.00000000,0.00000021,,,,2020-03-15 21:09:30.862278
25,Cyprus,1170125,26,0.00000000,,,,0.00002222,0.00000000,,,,,2020-03-15 21:09:30.862278
26,Czech Republic,10561633,253,0.00000000,2.00000000,0.00000000,0.00000000,0.00002395,0.00000000,0.00000019,0.00000000,0.00000000,,2020-03-15 21:09:30.862278
27,Germany,82667685,4585,12.00000000,,2.00000000,46.00000000,0.00005546,0.00000015,,0.00000002,0.00000056,0.20689655,2020-03-15 21:09:30.862278
28,Denmark,5731118,836,1.00000000,,,,0.00014587,0.00000017,,,,,2020-03-15 21:09:30.862278
29,Dominican Republic,10648791,11,0.00000000,,,,0.00000103,0.00000000,,,,,2020-03-15 21:09:30.862278
30,Algeria,40606052,45,3.00000000,,,10.00000000,0.00000111,0.00000007,,,0.00000025,0.23076923,2020-03-15 21:09:30.862278
31,Ecuador,16385068,28,2.00000000,,1.00000000,,0.00000171,0.00000012,,0.00000006,,,2020-03-15 21:09:30.862278
32,Egypt,95688681,126,2.00000000,,,27.00000000,0.00000132,0.00000002,,,0.00000028,0.06896552,2020-03-15 21:09:30.862278
33,Spain,46443959,7847,292.00000000,272.00000000,,517.00000000,0.00016896,0.00000629,0.00000586,,0.00001113,0.36093943,2020-03-15 21:09:30.862278
34,Estonia,1316481,115,0.00000000,,,1.00000000,0.00008735,0.00000000,,,0.00000076,0.00000000,2020-03-15 21:09:30.862278
35,Finland,5495096,210,0.00000000,,,1.00000000,0.00003822,0.00000000,,,0.00000018,0.00000000,2020-03-15 21:09:30.862278
36,France,66896109,5423,127.00000000,300.00000000,,12.00000000,0.00008107,0.00000190,0.00000448,,0.00000018,0.91366906,2020-03-15 21:09:30.862278
37,United Kingdom,65637239,1372,35.00000000,20.00000000,,18.00000000,0.00002090,0.00000053,0.00000030,,0.00000027,0.66037736,2020-03-15 21:09:30.862278
38,Georgia,3719300,30,0.00000000,1.00000000,,1.00000000,0.00000807,0.00000000,0.00000027,,0.00000027,0.00000000,2020-03-15 21:09:30.862278
39,Gibraltar,34408,1,0.00000000,1.00000000,,,0.00002906,0.00000000,0.00002906,,,,2020-03-15 21:09:30.862278
40,Greece,10746740,228,3.00000000,5.00000000,,8.00000000,0.00002122,0.00000028,0.00000047,,0.00000074,0.27272727,2020-03-15 21:09:30.862278
41,Hong Kong,7346700,142,4.00000000,2.00000000,2.00000000,81.00000000,0.00001933,0.00000054,0.00000027,0.00000027,0.00001103,0.04705882,2020-03-15 21:09:30.862278
42,Honduras,9112867,3,0.00000000,,,,0.00000033,0.00000000,,,,,2020-03-15 21:09:30.862278
43,Croatia,4170600,38,0.00000000,,,1.00000000,0.00000911,0.00000000,,,0.00000024,0.00000000,2020-03-15 21:09:30.862278
44,Hungary,9817958,30,0.00000000,,,0.00000000,0.00000306,0.00000000,,,0.00000000,,2020-03-15 21:09:30.862278
45,Indonesia,261115456,117,5.00000000,,,5.00000000,0.00000045,0.00000002,,,0.00000002,0.50000000,2020-03-15 21:09:30.862278
46,India,1324171354,109,2.00000000,,,10.00000000,0.00000008,0.00000000,,,0.00000001,0.16666667,2020-03-15 21:09:30.862278
47,Ireland,4773095,169,2.00000000,,,,0.00003541,0.00000042,,,,,2020-03-15 21:09:30.862278
48,Iran,80277428,13938,724.00000000,,,4339.00000000,0.00017362,0.00000902,,,0.00005405,0.14299822,2020-03-15 21:09:30.862278
49,Iraq,37202572,124,10.00000000,,,26.00000000,0.00000333,0.00000027,,,0.00000070,0.27777778,2020-03-15 21:09:30.862278
50,Iceland,334252,161,0.00000000,1.00000000,,,0.00048167,0.00000000,0.00000299,,,,2020-03-15 21:09:30.862278
51,Israel,8547100,193,0.00000000,2.00000000,,3.00000000,0.00002258,0.00000000,0.00000023,,0.00000035,0.00000000,2020-03-15 21:09:30.862278
52,Italy,60600590,24747,1809.00000000,1672.00000000,,2335.00000000,0.00040836,0.00002985,0.00002759,,0.00003853,0.43653475,2020-03-15 21:09:30.862278
53,Jamaica,2881355,8,0.00000000,,,,0.00000278,0.00000000,,,,,2020-03-15 21:09:30.862278
54,Jordan,9455802,6,0.00000000,,,1.00000000,0.00000063,0.00000000,,,0.00000011,0.00000000,2020-03-15 21:09:30.862278
55,Japan,126994511,805,22.00000000,32.00000000,,59.00000000,0.00000634,0.00000017,0.00000025,,0.00000046,0.27160494,2020-03-15 21:09:30.862278
56,Cambodia,15762370,7,0.00000000,,,1.00000000,0.00000044,0.00000000,,,0.00000006,0.00000000,2020-03-15 21:09:30.862278
57,South Korea,51245707,8162,75.00000000,,36.00000000,834.00000000,0.00015927,0.00000146,,0.00000070,0.00001627,0.08250825,2020-03-15 21:09:30.862278
58,Kuwait,4052584,112,0.00000000,4.00000000,,9.00000000,0.00002764,0.00000000,0.00000099,,0.00000222,0.00000000,2020-03-15 21:09:30.862278
59,Lebanon,6006668,93,3.00000000,,2.00000000,,0.00001548,0.00000050,,0.00000033,,,2020-03-15 21:09:30.862278
60,Liechtenstein,37666,4,0.00000000,,,,0.00010620,0.00000000,,,,,2020-03-15 21:09:30.862278
61,Sri Lanka,21203000,10,0.00000000,,,1.00000000,0.00000047,0.00000000,,,0.00000005,0.00000000,2020-03-15 21:09:30.862278
62,Lithuania,2872298,9,0.00000000,,,,0.00000313,0.00000000,,,,,2020-03-15 21:09:30.862278
63,Luxembourg,582972,51,1.00000000,,,,0.00008748,0.00000172,,,,,2020-03-15 21:09:30.862278
64,Latvia,1960424,26,0.00000000,,,,0.00001326,0.00000000,,,,,2020-03-15 21:09:30.862278
65,Morocco,35276786,18,1.00000000,,,,0.00000051,0.00000003,,,,,2020-03-15 21:09:30.862278
66,Monaco,38499,2,0.00000000,,,,0.00005195,0.00000000,,,,,2020-03-15 21:09:30.862278
67,Moldova,3552000,12,0.00000000,,,,0.00000338,0.00000000,,,,,2020-03-15 21:09:30.862278
68,Maldives,417492,11,0.00000000,,,,0.00002635,0.00000000,,,,,2020-03-15 21:09:30.862278
69,Mexico,127540423,41,1.00000000,1.00000000,,3.00000000,0.00000032,0.00000001,0.00000001,,0.00000002,0.25000000,2020-03-15 21:09:30.862278
70,Malta,436947,18,0.00000000,,,1.00000000,0.00004119,0.00000000,,,0.00000229,0.00000000,2020-03-15 21:09:30.862278
71,Mauritania,4301018,1,0.00000000,,,,0.00000023,0.00000000,,,,,2020-03-15 21:09:30.862278
72,Malaysia,31187265,238,0.00000000,5.00000000,,35.00000000,0.00000763,0.00000000,0.00000016,,0.00000112,0.00000000,2020-03-15 21:09:30.862278
73,Namibia,2479713,2,0.00000000,,,,0.00000081,0.00000000,,,,,2020-03-15 21:09:30.862278
74,Nigeria,185989640,2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-15 21:09:30.862278
75,Netherlands,17018408,959,12.00000000,,45.00000000,2.00000000,0.00005635,0.00000071,,0.00000264,0.00000012,0.85714286,2020-03-15 21:09:30.862278
76,Norway,5232929,1120,3.00000000,,,,0.00021403,0.00000057,,,,,2020-03-15 21:09:30.862278
77,Nepal,28982771,1,0.00000000,,,1.00000000,0.00000003,0.00000000,,,0.00000003,0.00000000,2020-03-15 21:09:30.862278
78,New Zealand,4692700,8,0.00000000,,,,0.00000170,0.00000000,,,,,2020-03-15 21:09:30.862278
79,Oman,4424762,20,0.00000000,0.00000000,0.00000000,9.00000000,0.00000452,0.00000000,0.00000000,0.00000000,0.00000203,0.00000000,2020-03-15 21:09:30.862278
80,Pakistan,193203476,30,0.00000000,,,2.00000000,0.00000016,0.00000000,,,0.00000001,0.00000000,2020-03-15 21:09:30.862278
81,Panama,4034119,43,1.00000000,,,,0.00001066,0.00000025,,,,,2020-03-15 21:09:30.862278
82,Peru,31773839,71,0.00000000,,,,0.00000223,0.00000000,,,,,2020-03-15 21:09:30.862278
83,Philippines,103320222,111,11.00000000,1.00000000,,2.00000000,0.00000107,0.00000011,0.00000001,,0.00000002,0.84615385,2020-03-15 21:09:30.862278
84,Poland,37948016,125,3.00000000,2.00000000,0.00000000,0.00000000,0.00000329,0.00000008,0.00000005,0.00000000,0.00000000,1.00000000,2020-03-15 21:09:30.862278
85,Portugal,10324611,169,0.00000000,,,,0.00001637,0.00000000,,,,,2020-03-15 21:09:30.862278
86,Paraguay,6725308,7,0.00000000,1.00000000,,,0.00000104,0.00000000,0.00000015,,,,2020-03-15 21:09:30.862278
87,Qatar,2569804,337,0.00000000,,,4.00000000,0.00013114,0.00000000,,,0.00000156,0.00000000,2020-03-15 21:09:30.862278
88,Romania,19705301,123,0.00000000,,,9.00000000,0.00000624,0.00000000,,,0.00000046,0.00000000,2020-03-15 21:09:30.862278
89,Rwanda,11917508,1,0.00000000,,,,0.00000008,0.00000000,,,,,2020-03-15 21:09:30.862278
