,Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered,Cases PerCapita,Deaths PerCapita,Serious PerCapita,Critical PerCapita,Recovered PerCapita,Deaths per Death plus Rec,date
0,Afghanistan,34656032,21,0.00000000,,,,0.00000061,0.00000000,,,,,2020-03-16 12:53:35.841639
1,Albania,2876101,42,1.00000000,2.00000000,,,0.00001460,0.00000035,0.00000070,,,,2020-03-16 12:53:35.841639
2,Andorra,77281,14,0.00000000,,,,0.00018116,0.00000000,,,,,2020-03-16 12:53:35.841639
3,United Arab Emirates,9269612,98,0.00000000,,,26.00000000,0.00001057,0.00000000,,,0.00000280,0.00000000,2020-03-16 12:53:35.841639
4,Argentina,43847430,56,2.00000000,,,,0.00000128,0.00000005,,,,,2020-03-16 12:53:35.841639
5,Armenia,2924816,30,0.00000000,,,1.00000000,0.00001026,0.00000000,,,0.00000034,0.00000000,2020-03-16 12:53:35.841639
6,Australia,24127159,360,5.00000000,,,27.00000000,0.00001492,0.00000021,,,0.00000112,0.15625000,2020-03-16 12:53:35.841639
7,Austria,8747358,959,1.00000000,,,6.00000000,0.00010963,0.00000011,,,0.00000069,0.14285714,2020-03-16 12:53:35.841639
8,Azerbaijan,9762274,25,1.00000000,,,3.00000000,0.00000256,0.00000010,,,0.00000031,0.25000000,2020-03-16 12:53:35.841639
9,Belgium,11348159,1085,5.00000000,53.00000000,,1.00000000,0.00009561,0.00000044,0.00000467,,0.00000009,0.83333333,2020-03-16 12:53:35.841639
10,Burkina Faso,18646433,7,0.00000000,,,,0.00000038,0.00000000,,,,,2020-03-16 12:53:35.841639
11,Bangladesh,162951560,8,0.00000000,,,,0.00000005,0.00000000,,,,,2020-03-16 12:53:35.841639
12,Bulgaria,7127822,51,2.00000000,,,,0.00000716,0.00000028,,,,,2020-03-16 12:53:35.841639
13,Bahrain,1425171,221,1.00000000,,1.00000000,77.00000000,0.00015507,0.00000070,,0.00000070,0.00005403,0.01282051,2020-03-16 12:53:35.841639
14,Bahamas,391232,1,0.00000000,,,,0.00000256,0.00000000,,,,,2020-03-16 12:53:35.841639
15,Belarus,9507120,27,0.00000000,,,3.00000000,0.00000284,0.00000000,,,0.00000032,0.00000000,2020-03-16 12:53:35.841639
16,Bolivia,10887882,10,,,,,0.00000092,,,,,,2020-03-16 12:53:35.841639
17,Brazil,207652865,218,0.00000000,,,1.00000000,0.00000105,0.00000000,,,0.00000000,0.00000000,2020-03-16 12:53:35.841639
18,Bhutan,797765,1,0.00000000,,,,0.00000125,0.00000000,,,,,2020-03-16 12:53:35.841639
19,Central African Republic,4594621,1,0.00000000,,,,0.00000022,0.00000000,,,,,2020-03-16 12:53:35.841639
20,Canada,36286425,373,4.00000000,,1.00000000,11.00000000,0.00001028,0.00000011,,0.00000003,0.00000030,0.26666667,2020-03-16 12:53:35.841639
21,Switzerland,8372098,2200,14.00000000,,,4.00000000,0.00026278,0.00000167,,,0.00000048,0.77777778,2020-03-16 12:53:35.841639
22,Chile,17909754,156,0.00000000,,,,0.00000871,0.00000000,,,,,2020-03-16 12:53:35.841639
23,China,1378665000,80860,3213.00000000,3032.00000000,,67490.00000000,0.00005865,0.00000233,0.00000220,,0.00004895,0.04544362,2020-03-16 12:53:35.841639
24,Cameroon,23439189,5,0.00000000,,,,0.00000021,0.00000000,,,,,2020-03-16 12:53:35.841639
25,Colombia,48653419,45,0.00000000,,,,0.00000092,0.00000000,,,,,2020-03-16 12:53:35.841639
26,Costa Rica,4857274,35,0.00000000,1.00000000,,,0.00000721,0.00000000,0.00000021,,,,2020-03-16 12:53:35.841639
27,Cyprus,1170125,33,0.00000000,,,,0.00002820,0.00000000,,,,,2020-03-16 12:53:35.841639
28,Czech Republic,10561633,298,0.00000000,2.00000000,0.00000000,0.00000000,0.00002822,0.00000000,0.00000019,0.00000000,0.00000000,,2020-03-16 12:53:35.841639
29,Germany,82667685,7272,14.00000000,,2.00000000,60.00000000,0.00008797,0.00000017,,0.00000002,0.00000073,0.18918919,2020-03-16 12:53:35.841639
30,Denmark,5731118,932,1.00000000,,,,0.00016262,0.00000017,,,,,2020-03-16 12:53:35.841639
31,Dominican Republic,10648791,11,0.00000000,,,,0.00000103,0.00000000,,,,,2020-03-16 12:53:35.841639
32,Algeria,40606052,60,4.00000000,,,10.00000000,0.00000148,0.00000010,,,0.00000025,0.28571429,2020-03-16 12:53:35.841639
33,Ecuador,16385068,37,2.00000000,,1.00000000,,0.00000226,0.00000012,,0.00000006,,,2020-03-16 12:53:35.841639
34,Egypt,95688681,126,2.00000000,,,27.00000000,0.00000132,0.00000002,,,0.00000028,0.06896552,2020-03-16 12:53:35.841639
35,Spain,46443959,9940,342.00000000,432.00000000,,530.00000000,0.00021402,0.00000736,0.00000930,,0.00001141,0.39220183,2020-03-16 12:53:35.841639
36,Estonia,1316481,171,0.00000000,,,1.00000000,0.00012989,0.00000000,,,0.00000076,0.00000000,2020-03-16 12:53:35.841639
37,Ethiopia,102403196,4,0.00000000,,,,0.00000004,0.00000000,,,,,2020-03-16 12:53:35.841639
38,Finland,5495096,272,0.00000000,,,1.00000000,0.00004950,0.00000000,,,0.00000018,0.00000000,2020-03-16 12:53:35.841639
39,France,66896109,6633,148.00000000,300.00000000,,12.00000000,0.00009915,0.00000221,0.00000448,,0.00000018,0.92500000,2020-03-16 12:53:35.841639
40,Gabon,1979786,1,0.00000000,,,,0.00000051,0.00000000,,,,,2020-03-16 12:53:35.841639
41,United Kingdom,65637239,1543,55.00000000,20.00000000,,18.00000000,0.00002351,0.00000084,0.00000030,,0.00000027,0.75342466,2020-03-16 12:53:35.841639
42,Georgia,3719300,33,0.00000000,1.00000000,,1.00000000,0.00000887,0.00000000,0.00000027,,0.00000027,0.00000000,2020-03-16 12:53:35.841639
43,Ghana,28206728,6,0.00000000,,,,0.00000021,0.00000000,,,,,2020-03-16 12:53:35.841639
44,Gibraltar,34408,3,0.00000000,1.00000000,,1.00000000,0.00008719,0.00000000,0.00002906,,0.00002906,0.00000000,2020-03-16 12:53:35.841639
45,Guinea,12395924,1,0.00000000,,,,0.00000008,0.00000000,,,,,2020-03-16 12:53:35.841639
46,Equatorial Guinea,1221490,1,0.00000000,,,,0.00000082,0.00000000,,,,,2020-03-16 12:53:35.841639
47,Greece,10746740,331,4.00000000,5.00000000,,10.00000000,0.00003080,0.00000037,0.00000047,,0.00000093,0.28571429,2020-03-16 12:53:35.841639
