,Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered,Cases PerCapita,Deaths PerCapita,Serious PerCapita,Critical PerCapita,Recovered PerCapita,Deaths per Death plus Rec,date
0,Afghanistan,34656032,21,0.00000000,,,,0.00000061,0.00000000,,,,,2020-03-16 11:15:53.907984
1,Albania,2876101,42,1.00000000,2.00000000,,,0.00001460,0.00000035,0.00000070,,,,2020-03-16 11:15:53.907984
2,Andorra,77281,14,0.00000000,,,,0.00018116,0.00000000,,,,,2020-03-16 11:15:53.907984
3,United Arab Emirates,9269612,98,0.00000000,,,26.00000000,0.00001057,0.00000000,,,0.00000280,0.00000000,2020-03-16 11:15:53.907984
4,Argentina,43847430,56,2.00000000,,,,0.00000128,0.00000005,,,,,2020-03-16 11:15:53.907984
5,Armenia,2924816,30,0.00000000,,,1.00000000,0.00001026,0.00000000,,,0.00000034,0.00000000,2020-03-16 11:15:53.907984
6,Australia,24127159,360,5.00000000,,,27.00000000,0.00001492,0.00000021,,,0.00000112,0.15625000,2020-03-16 11:15:53.907984
7,Austria,8747358,959,1.00000000,,,6.00000000,0.00010963,0.00000011,,,0.00000069,0.14285714,2020-03-16 11:15:53.907984
8,Azerbaijan,9762274,25,1.00000000,,,3.00000000,0.00000256,0.00000010,,,0.00000031,0.25000000,2020-03-16 11:15:53.907984
9,Belgium,11348159,1085,5.00000000,53.00000000,,1.00000000,0.00009561,0.00000044,0.00000467,,0.00000009,0.83333333,2020-03-16 11:15:53.907984
10,Burkina Faso,18646433,7,0.00000000,,,,0.00000038,0.00000000,,,,,2020-03-16 11:15:53.907984
11,Bangladesh,162951560,8,0.00000000,,,,0.00000005,0.00000000,,,,,2020-03-16 11:15:53.907984
12,Bulgaria,7127822,51,2.00000000,,,,0.00000716,0.00000028,,,,,2020-03-16 11:15:53.907984
13,Bahrain,1425171,221,1.00000000,,1.00000000,77.00000000,0.00015507,0.00000070,,0.00000070,0.00005403,0.01282051,2020-03-16 11:15:53.907984
14,Bahamas,391232,1,0.00000000,,,,0.00000256,0.00000000,,,,,2020-03-16 11:15:53.907984
