,Province/State,Country/Region,Lat,Long,3/11/20,3/12/20,Delta,Percentage,date
211,,Turkey,38.96370000,35.24330000,1,1,0,0.00000000,2020-03-12 22:25:28.337717
212,Gibraltar,United Kingdom,36.14080000,-5.35360000,1,1,0,0.00000000,2020-03-12 22:25:28.337717
213,"Kitsap, WA",US,47.64770000,-122.64130000,0,0,0,,2020-03-12 22:25:28.337717
214,"Solano, CA",US,38.31050000,-121.90180000,0,0,0,,2020-03-12 22:25:28.337717
215,"Santa Cruz, CA",US,37.04540000,-121.95800000,0,0,0,,2020-03-12 22:25:28.337717
216,"Napa, CA",US,38.50250000,-122.26540000,0,0,0,,2020-03-12 22:25:28.337717
217,"Ventura, CA",US,34.37050000,-119.13910000,0,0,0,,2020-03-12 22:25:28.337717
218,"Worcester, MA",US,42.40970000,-71.85710000,0,0,0,,2020-03-12 22:25:28.337717
219,"Gwinnett, GA",US,33.91910000,-84.01670000,0,0,0,,2020-03-12 22:25:28.337717
220,"DeKalb, GA",US,33.79560000,-84.22790000,0,0,0,,2020-03-12 22:25:28.337717
221,"Floyd, GA",US,37.54550000,-82.77790000,0,0,0,,2020-03-12 22:25:28.337717
222,"Fayette, GA",US,33.45020000,-84.48030000,0,0,0,,2020-03-12 22:25:28.337717
223,"Gregg, TX",US,32.48930000,-94.85210000,0,0,0,,2020-03-12 22:25:28.337717
224,"Monmouth, NJ",US,40.25890000,-74.12400000,0,0,0,,2020-03-12 22:25:28.337717
225,"Burlington, NJ",US,40.07120000,-74.86490000,0,0,0,,2020-03-12 22:25:28.337717
226,"Camden, NJ",US,39.92590000,-75.11960000,0,0,0,,2020-03-12 22:25:28.337717
227,"Passaic, NJ",US,40.85680000,-74.12850000,0,0,0,,2020-03-12 22:25:28.337717
228,"Union, NJ",US,40.69760000,-74.26320000,0,0,0,,2020-03-12 22:25:28.337717
229,"Eagle, CO",US,39.65530000,-106.82870000,0,0,0,,2020-03-12 22:25:28.337717
230,"Larimer, CO",US,40.69560000,-105.59430000,0,0,0,,2020-03-12 22:25:28.337717
231,"Arapahoe, CO",US,39.62030000,-104.33260000,0,0,0,,2020-03-12 22:25:28.337717
