,Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered,Cases PerCapita,Deaths PerCapita,Serious PerCapita,Critical PerCapita,Recovered PerCapita,Deaths per Death plus Rec,date
0,Afghanistan,34656032,7,0,,,,0.00000020,0.00000000,,,,,2020-03-11 17:29:27.318670
1,Albania,2876101,12,1,,,,0.00000417,0.00000035,,,,,2020-03-11 17:29:27.318670
2,Andorra,77281,1,0,,,,0.00001294,0.00000000,,,,,2020-03-11 17:29:27.318670
3,Argentina,43847430,12,1,,,,0.00000027,0.00000002,,,,,2020-03-11 17:29:27.318670
4,Armenia,2924816,1,0,,,,0.00000034,0.00000000,,,,,2020-03-11 17:29:27.318670
5,Australia,24127159,127,3,,,24.00000000,0.00000526,0.00000012,,,0.00000099,0.11111111,2020-03-11 17:29:27.318670
6,Austria,8747358,246,0,,,4.00000000,0.00002812,0.00000000,,,0.00000046,0.00000000,2020-03-11 17:29:27.318670
7,Azerbaijan,9762274,6,0,,,3.00000000,0.00000061,0.00000000,,,0.00000031,0.00000000,2020-03-11 17:29:27.318670
8,Belgium,11348159,314,1,1.00000000,1.00000000,1.00000000,0.00002767,0.00000009,0.00000009,0.00000009,0.00000009,0.50000000,2020-03-11 17:29:27.318670
9,Bangladesh,162951560,3,0,,,,0.00000002,0.00000000,,,,,2020-03-11 17:29:27.318670
10,Bulgaria,7127822,7,1,,,,0.00000098,0.00000014,,,,,2020-03-11 17:29:27.318670
11,Bahrain,1425171,195,0,,1.00000000,35.00000000,0.00013683,0.00000000,,0.00000070,0.00002456,0.00000000,2020-03-11 17:29:27.318670
12,Belarus,9507120,6,0,,,,0.00000063,0.00000000,,,,,2020-03-11 17:29:27.318670
13,Brazil,207652865,52,0,,,,0.00000025,0.00000000,,,,,2020-03-11 17:29:27.318670
14,Bhutan,797765,1,0,,,,0.00000125,0.00000000,,,,,2020-03-11 17:29:27.318670
15,Canada,36286425,109,1,,1.00000000,9.00000000,0.00000300,0.00000003,,0.00000003,0.00000025,0.10000000,2020-03-11 17:29:27.318670
16,Switzerland,8372098,642,4,,,4.00000000,0.00007668,0.00000048,,,0.00000048,0.50000000,2020-03-11 17:29:27.318670
17,Chile,17909754,17,0,,,,0.00000095,0.00000000,,,,,2020-03-11 17:29:27.318670
18,Cameroon,23439189,2,0,,,,0.00000009,0.00000000,,,,,2020-03-11 17:29:27.318670
19,Colombia,48653419,9,0,,,,0.00000018,0.00000000,,,,,2020-03-11 17:29:27.318670
20,Costa Rica,4857274,9,0,1.00000000,,,0.00000185,0.00000000,0.00000021,,,,2020-03-11 17:29:27.318670
21,Cyprus,1170125,6,0,,,,0.00000513,0.00000000,,,,,2020-03-11 17:29:27.318670
22,Czech Republic,10561633,94,0,0.00000000,0.00000000,0.00000000,0.00000890,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-11 17:29:27.318670
23,Germany,82667685,1908,3,,2.00000000,25.00000000,0.00002308,0.00000004,,0.00000002,0.00000030,0.10714286,2020-03-11 17:29:27.318670
24,Dominican Republic,10648791,5,0,,,,0.00000047,0.00000000,,,,,2020-03-11 17:29:27.318670
25,Algeria,40606052,20,0,,,,0.00000049,0.00000000,,,,,2020-03-11 17:29:27.318670
26,Ecuador,16385068,15,0,,1.00000000,,0.00000092,0.00000000,,0.00000006,,,2020-03-11 17:29:27.318670
27,Egypt,95688681,60,1,,,27.00000000,0.00000063,0.00000001,,,0.00000028,0.03571429,2020-03-11 17:29:27.318670
28,Spain,46443959,2222,54,126.00000000,,183.00000000,0.00004784,0.00000116,0.00000271,,0.00000394,0.22784810,2020-03-11 17:29:27.318670
29,Estonia,1316481,10,0,0.00000000,0.00000000,0.00000000,0.00000760,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-11 17:29:27.318670
30,Finland,5495096,59,0,,,1.00000000,0.00001074,0.00000000,,,0.00000018,0.00000000,2020-03-11 17:29:27.318670
31,France,66896109,2281,48,105.00000000,,12.00000000,0.00003410,0.00000072,0.00000157,,0.00000018,0.80000000,2020-03-11 17:29:27.318670
32,United Kingdom,65637239,456,6,,,12.00000000,0.00000695,0.00000009,,,0.00000018,0.33333333,2020-03-11 17:29:27.318670
33,Georgia,3719300,15,0,1.00000000,,,0.00000403,0.00000000,0.00000027,,,,2020-03-11 17:29:27.318670
34,Gibraltar,34408,1,0,1.00000000,,,0.00002906,0.00000000,0.00002906,,,,2020-03-11 17:29:27.318670
35,Greece,10746740,99,0,2.00000000,,,0.00000921,0.00000000,0.00000019,,,,2020-03-11 17:29:27.318670
36,Hong Kong,7346700,121,2,2.00000000,4.00000000,59.00000000,0.00001647,0.00000027,0.00000027,0.00000054,0.00000803,0.03278689,2020-03-11 17:29:27.318670
37,Honduras,9112867,2,0,,,,0.00000022,0.00000000,,,,,2020-03-11 17:29:27.318670
38,Croatia,4170600,12,0,,,,0.00000288,0.00000000,,,,,2020-03-11 17:29:27.318670
39,Hungary,9817958,9,0,0.00000000,0.00000000,0.00000000,0.00000092,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-11 17:29:27.318670
40,Indonesia,261115456,34,1,,,,0.00000013,0.00000000,,,,,2020-03-11 17:29:27.318670
41,India,1324171354,60,0,,,4.00000000,0.00000005,0.00000000,,,0.00000000,0.00000000,2020-03-11 17:29:27.318670
42,Ireland,4773095,43,1,,,,0.00000901,0.00000021,,,,,2020-03-11 17:29:27.318670
43,Iran,80277428,9000,354,,,2959.00000000,0.00011211,0.00000441,,,0.00003686,0.10685180,2020-03-11 17:29:27.318670
44,Iraq,37202572,60,5,,,,0.00000161,0.00000013,,,,,2020-03-11 17:29:27.318670
45,Iceland,334252,85,0,,,,0.00025430,0.00000000,,,,,2020-03-11 17:29:27.318670
46,Israel,8547100,76,0,1.00000000,,3.00000000,0.00000889,0.00000000,0.00000012,,0.00000035,0.00000000,2020-03-11 17:29:27.318670
47,Italy,60600590,12462,827,1028.00000000,,1045.00000000,0.00020564,0.00001365,0.00001696,,0.00001724,0.44177350,2020-03-11 17:29:27.318670
48,Jamaica,2881355,2,0,,,,0.00000069,0.00000000,,,,,2020-03-11 17:29:27.318670
49,Jordan,9455802,1,0,,,,0.00000011,0.00000000,,,,,2020-03-11 17:29:27.318670
50,Japan,126994511,581,10,31.00000000,,59.00000000,0.00000458,0.00000008,0.00000024,,0.00000046,0.14492754,2020-03-11 17:29:27.318670
51,Cambodia,15762370,3,0,,,1.00000000,0.00000019,0.00000000,,,0.00000006,0.00000000,2020-03-11 17:29:27.318670
52,South Korea,51245707,7755,60,,36.00000000,288.00000000,0.00015133,0.00000117,,0.00000070,0.00000562,0.17241379,2020-03-11 17:29:27.318670
53,Kuwait,4052584,72,0,2.00000000,1.00000000,2.00000000,0.00001777,0.00000000,0.00000049,0.00000025,0.00000049,0.00000000,2020-03-11 17:29:27.318670
54,Lebanon,6006668,61,2,,3.00000000,,0.00001016,0.00000033,,0.00000050,,,2020-03-11 17:29:27.318670
55,Liechtenstein,37666,1,0,,,,0.00002655,0.00000000,,,,,2020-03-11 17:29:27.318670
56,Sri Lanka,21203000,2,0,,,1.00000000,0.00000009,0.00000000,,,0.00000005,0.00000000,2020-03-11 17:29:27.318670
57,Lithuania,2872298,3,0,,,,0.00000104,0.00000000,,,,,2020-03-11 17:29:27.318670
58,Luxembourg,582972,7,0,,,,0.00001201,0.00000000,,,,,2020-03-11 17:29:27.318670
59,Latvia,1960424,6,0,,,,0.00000306,0.00000000,,,,,2020-03-11 17:29:27.318670
60,Morocco,35276786,3,1,,,,0.00000009,0.00000003,,,,,2020-03-11 17:29:27.318670
61,Monaco,38499,1,0,,,,0.00002597,0.00000000,,,,,2020-03-11 17:29:27.318670
62,Moldova,3552000,3,0,,,,0.00000084,0.00000000,,,,,2020-03-11 17:29:27.318670
63,Maldives,417492,8,0,,,,0.00001916,0.00000000,,,,,2020-03-11 17:29:27.318670
64,Mexico,127540423,7,0,1.00000000,,4.00000000,0.00000005,0.00000000,0.00000001,,0.00000003,0.00000000,2020-03-11 17:29:27.318670
65,Malta,436947,5,0,,,,0.00001144,0.00000000,,,,,2020-03-11 17:29:27.318670
66,Malaysia,31187265,149,0,2.00000000,,26.00000000,0.00000478,0.00000000,0.00000006,,0.00000083,0.00000000,2020-03-11 17:29:27.318670
67,Nigeria,185989640,2,0,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-11 17:29:27.318670
68,Netherlands,17018408,503,5,1.00000000,,,0.00002956,0.00000029,0.00000006,,,,2020-03-11 17:29:27.318670
69,Norway,5232929,596,0,,,,0.00011389,0.00000000,,,,,2020-03-11 17:29:27.318670
70,Nepal,28982771,1,0,,,1.00000000,0.00000003,0.00000000,,,0.00000003,0.00000000,2020-03-11 17:29:27.318670
71,New Zealand,4692700,5,0,,,,0.00000107,0.00000000,,,,,2020-03-11 17:29:27.318670
72,Oman,4424762,16,0,,,2.00000000,0.00000362,0.00000000,,,0.00000045,0.00000000,2020-03-11 17:29:27.318670
73,Pakistan,193203476,19,0,,,2.00000000,0.00000010,0.00000000,,,0.00000001,0.00000000,2020-03-11 17:29:27.318670
74,Panama,4034119,8,1,,,,0.00000198,0.00000025,,,,,2020-03-11 17:29:27.318670
75,Peru,31773839,7,0,,,,0.00000022,0.00000000,,,,,2020-03-11 17:29:27.318670
76,Philippines,103320222,49,2,1.00000000,,2.00000000,0.00000047,0.00000002,0.00000001,,0.00000002,0.50000000,2020-03-11 17:29:27.318670
77,Poland,37948016,31,0,2.00000000,0.00000000,0.00000000,0.00000082,0.00000000,0.00000005,0.00000000,0.00000000,,2020-03-11 17:29:27.318670
78,Portugal,10324611,59,0,,,,0.00000571,0.00000000,,,,,2020-03-11 17:29:27.318670
79,Paraguay,6725308,5,0,1.00000000,,,0.00000074,0.00000000,0.00000015,,,,2020-03-11 17:29:27.318670
80,Qatar,2569804,238,0,,,,0.00009261,0.00000000,,,,,2020-03-11 17:29:27.318670
81,Romania,19705301,32,0,,,6.00000000,0.00000162,0.00000000,,,0.00000030,0.00000000,2020-03-11 17:29:27.318670
82,Saudi Arabia,32275687,45,0,,,1.00000000,0.00000139,0.00000000,,,0.00000003,0.00000000,2020-03-11 17:29:27.318670
83,Senegal,15411614,4,0,0.00000000,0.00000000,0.00000000,0.00000026,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-11 17:29:27.318670
84,Singapore,5607283,178,0,,9.00000000,96.00000000,0.00003174,0.00000000,,0.00000161,0.00001712,0.00000000,2020-03-11 17:29:27.318670
85,San Marino,33203,62,2,5.00000000,,,0.00186730,0.00006024,0.00015059,,,,2020-03-11 17:29:27.318670
86,Serbia,7057412,12,0,,,,0.00000170,0.00000000,,,,,2020-03-11 17:29:27.318670
87,Slovenia,2064845,31,0,0.00000000,0.00000000,0.00000000,0.00001501,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-11 17:29:27.318670
88,Sweden,9903122,500,1,,,,0.00005049,0.00000010,,,,,2020-03-11 17:29:27.318670
89,Togo,7606374,1,0,,,,0.00000013,0.00000000,,,,,2020-03-11 17:29:27.318670
90,Thailand,68863514,59,1,1.00000000,,34.00000000,0.00000086,0.00000001,0.00000001,,0.00000049,0.02857143,2020-03-11 17:29:27.318670
91,Tunisia,11403248,6,0,,,,0.00000053,0.00000000,,,,,2020-03-11 17:29:27.318670
92,Turkey,79512426,1,0,,,,0.00000001,0.00000000,,,,,2020-03-11 17:29:27.318670
93,Ukraine,45004645,1,0,,,,0.00000002,0.00000000,,,,,2020-03-11 17:29:27.318670
94,United States,323127513,1188,36,2.00000000,6.00000000,9.00000000,0.00000368,0.00000011,0.00000001,0.00000002,0.00000003,0.80000000,2020-03-11 17:29:27.318670
95,Vietnam,92701100,37,0,,,16.00000000,0.00000040,0.00000000,,,0.00000017,0.00000000,2020-03-11 17:29:27.318670
96,South Africa,55908865,13,0,,,,0.00000023,0.00000000,,,,,2020-03-11 17:29:27.318670
