,Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered,Cases PerCapita,Deaths PerCapita,Serious PerCapita,Critical PerCapita,Recovered PerCapita,Deaths per Death plus Rec,date
0,Afghanistan,34656032,20,0.00000000,,,,0.00000058,0.00000000,,,,,2020-03-15 22:30:50.163500
1,Albania,2876101,38,1.00000000,2.00000000,,,0.00001321,0.00000035,0.00000070,,,,2020-03-15 22:30:50.163500
2,Andorra,77281,1,0.00000000,,,,0.00001294,0.00000000,,,,,2020-03-15 22:30:50.163500
3,United Arab Emirates,9269612,86,0.00000000,,,23.00000000,0.00000928,0.00000000,,,0.00000248,0.00000000,2020-03-15 22:30:50.163500
4,Argentina,43847430,45,2.00000000,,,,0.00000103,0.00000005,,,,,2020-03-15 22:30:50.163500
5,Armenia,2924816,20,0.00000000,,,,0.00000684,0.00000000,,,,,2020-03-15 22:30:50.163500
6,Australia,24127159,321,3.00000000,,,27.00000000,0.00001330,0.00000012,,,0.00000112,0.10000000,2020-03-15 22:30:50.163500
7,Austria,8747358,800,1.00000000,,,6.00000000,0.00009146,0.00000011,,,0.00000069,0.14285714,2020-03-15 22:30:50.163500
8,Azerbaijan,9762274,19,1.00000000,,,3.00000000,0.00000195,0.00000010,,,0.00000031,0.25000000,2020-03-15 22:30:50.163500
9,Belgium,11348159,689,4.00000000,,,1.00000000,0.00006071,0.00000035,,,0.00000009,0.80000000,2020-03-15 22:30:50.163500
10,Bangladesh,162951560,5,0.00000000,,,,0.00000003,0.00000000,,,,,2020-03-15 22:30:50.163500
11,Bulgaria,7127822,41,2.00000000,,,,0.00000575,0.00000028,,,,,2020-03-15 22:30:50.163500
12,Bahrain,1425171,212,0.00000000,,2.00000000,60.00000000,0.00014875,0.00000000,,0.00000140,0.00004210,0.00000000,2020-03-15 22:30:50.163500
13,Belarus,9507120,27,0.00000000,,,3.00000000,0.00000284,0.00000000,,,0.00000032,0.00000000,2020-03-15 22:30:50.163500
14,Bolivia,10887882,10,,,,,0.00000092,,,,,,2020-03-15 22:30:50.163500
15,Brazil,207652865,200,0.00000000,,,1.00000000,0.00000096,0.00000000,,,0.00000000,0.00000000,2020-03-15 22:30:50.163500
16,Bhutan,797765,1,0.00000000,,,,0.00000125,0.00000000,,,,,2020-03-15 22:30:50.163500
17,Central African Republic,4594621,1,0.00000000,,,,0.00000022,0.00000000,,,,,2020-03-15 22:30:50.163500
18,Canada,36286425,264,1.00000000,,1.00000000,11.00000000,0.00000728,0.00000003,,0.00000003,0.00000030,0.08333333,2020-03-15 22:30:50.163500
19,Switzerland,8372098,1355,13.00000000,,,4.00000000,0.00016185,0.00000155,,,0.00000048,0.76470588,2020-03-15 22:30:50.163500
20,Chile,17909754,61,0.00000000,,,,0.00000341,0.00000000,,,,,2020-03-15 22:30:50.163500
21,China,1378665000,80844,3199.00000000,3226.00000000,,66911.00000000,0.00005864,0.00000232,0.00000234,,0.00004853,0.04562830,2020-03-15 22:30:50.163500
22,Cameroon,23439189,2,0.00000000,,,,0.00000009,0.00000000,,,,,2020-03-15 22:30:50.163500
23,Colombia,48653419,45,0.00000000,,,,0.00000092,0.00000000,,,,,2020-03-15 22:30:50.163500
