,Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered,Cases PerCapita,Deaths PerCapita,Serious PerCapita,Critical PerCapita,Recovered PerCapita,Deaths per Death plus Rec,date
0,Afghanistan,34656032,7,0,,,,0.00000020,0.00000000,,,,,2020-03-11 22:15:38.030572
1,Albania,2876101,12,1,,,,0.00000417,0.00000035,,,,,2020-03-11 22:15:38.030572
2,Andorra,77281,1,0,,,,0.00001294,0.00000000,,,,,2020-03-11 22:15:38.030572
3,Argentina,43847430,12,1,,,,0.00000027,0.00000002,,,,,2020-03-11 22:15:38.030572
4,Armenia,2924816,1,0,,,,0.00000034,0.00000000,,,,,2020-03-11 22:15:38.030572
5,Australia,24127159,139,3,,,24.00000000,0.00000576,0.00000012,,,0.00000099,0.11111111,2020-03-11 22:15:38.030572
6,Austria,8747358,246,0,,,4.00000000,0.00002812,0.00000000,,,0.00000046,0.00000000,2020-03-11 22:15:38.030572
7,Azerbaijan,9762274,6,0,,,3.00000000,0.00000061,0.00000000,,,0.00000031,0.00000000,2020-03-11 22:15:38.030572
8,Belgium,11348159,314,3,,,1.00000000,0.00002767,0.00000026,,,0.00000009,0.75000000,2020-03-11 22:15:38.030572
9,Bangladesh,162951560,3,0,,,,0.00000002,0.00000000,,,,,2020-03-11 22:15:38.030572
10,Bulgaria,7127822,7,1,,,,0.00000098,0.00000014,,,,,2020-03-11 22:15:38.030572
11,Bahrain,1425171,195,0,,1.00000000,35.00000000,0.00013683,0.00000000,,0.00000070,0.00002456,0.00000000,2020-03-11 22:15:38.030572
12,Belarus,9507120,6,0,,,,0.00000063,0.00000000,,,,,2020-03-11 22:15:38.030572
13,Brazil,207652865,52,0,,,,0.00000025,0.00000000,,,,,2020-03-11 22:15:38.030572
14,Bhutan,797765,1,0,,,,0.00000125,0.00000000,,,,,2020-03-11 22:15:38.030572
15,Canada,36286425,109,1,,1.00000000,9.00000000,0.00000300,0.00000003,,0.00000003,0.00000025,0.10000000,2020-03-11 22:15:38.030572
16,Switzerland,8372098,642,4,,,4.00000000,0.00007668,0.00000048,,,0.00000048,0.50000000,2020-03-11 22:15:38.030572
17,Chile,17909754,17,0,,,,0.00000095,0.00000000,,,,,2020-03-11 22:15:38.030572
18,Cameroon,23439189,2,0,,,,0.00000009,0.00000000,,,,,2020-03-11 22:15:38.030572
19,Colombia,48653419,9,0,,,,0.00000018,0.00000000,,,,,2020-03-11 22:15:38.030572
20,Costa Rica,4857274,22,0,1.00000000,,,0.00000453,0.00000000,0.00000021,,,,2020-03-11 22:15:38.030572
21,Cyprus,1170125,6,0,,,,0.00000513,0.00000000,,,,,2020-03-11 22:15:38.030572
22,Czech Republic,10561633,94,0,0.00000000,0.00000000,0.00000000,0.00000890,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-11 22:15:38.030572
23,Germany,82667685,1966,3,,2.00000000,25.00000000,0.00002378,0.00000004,,0.00000002,0.00000030,0.10714286,2020-03-11 22:15:38.030572
24,Dominican Republic,10648791,5,0,,,,0.00000047,0.00000000,,,,,2020-03-11 22:15:38.030572
25,Algeria,40606052,20,0,,,,0.00000049,0.00000000,,,,,2020-03-11 22:15:38.030572
26,Ecuador,16385068,15,0,,1.00000000,,0.00000092,0.00000000,,0.00000006,,,2020-03-11 22:15:38.030572
27,Egypt,95688681,67,1,,,27.00000000,0.00000070,0.00000001,,,0.00000028,0.03571429,2020-03-11 22:15:38.030572
28,Spain,46443959,2277,55,126.00000000,,183.00000000,0.00004903,0.00000118,0.00000271,,0.00000394,0.23109244,2020-03-11 22:15:38.030572
29,Estonia,1316481,10,0,0.00000000,0.00000000,0.00000000,0.00000760,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-11 22:15:38.030572
30,Finland,5495096,59,0,,,1.00000000,0.00001074,0.00000000,,,0.00000018,0.00000000,2020-03-11 22:15:38.030572
31,France,66896109,2281,48,105.00000000,,12.00000000,0.00003410,0.00000072,0.00000157,,0.00000018,0.80000000,2020-03-11 22:15:38.030572
32,United Kingdom,65637239,456,8,,,12.00000000,0.00000695,0.00000012,,,0.00000018,0.40000000,2020-03-11 22:15:38.030572
33,Georgia,3719300,15,0,1.00000000,,,0.00000403,0.00000000,0.00000027,,,,2020-03-11 22:15:38.030572
34,Gibraltar,34408,1,0,1.00000000,,,0.00002906,0.00000000,0.00002906,,,,2020-03-11 22:15:38.030572
35,Greece,10746740,99,0,2.00000000,,,0.00000921,0.00000000,0.00000019,,,,2020-03-11 22:15:38.030572
36,Hong Kong,7346700,130,2,2.00000000,4.00000000,59.00000000,0.00001770,0.00000027,0.00000027,0.00000054,0.00000803,0.03278689,2020-03-11 22:15:38.030572
37,Honduras,9112867,2,0,,,,0.00000022,0.00000000,,,,,2020-03-11 22:15:38.030572
38,Croatia,4170600,12,0,,,,0.00000288,0.00000000,,,,,2020-03-11 22:15:38.030572
39,Hungary,9817958,9,0,0.00000000,0.00000000,0.00000000,0.00000092,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-11 22:15:38.030572
40,Indonesia,261115456,34,1,,,,0.00000013,0.00000000,,,,,2020-03-11 22:15:38.030572
41,India,1324171354,60,0,,,4.00000000,0.00000005,0.00000000,,,0.00000000,0.00000000,2020-03-11 22:15:38.030572
42,Ireland,4773095,43,1,,,,0.00000901,0.00000021,,,,,2020-03-11 22:15:38.030572
43,Iran,80277428,9000,354,,,2959.00000000,0.00011211,0.00000441,,,0.00003686,0.10685180,2020-03-11 22:15:38.030572
44,Iraq,37202572,60,5,,,,0.00000161,0.00000013,,,,,2020-03-11 22:15:38.030572
45,Iceland,334252,85,0,,,,0.00025430,0.00000000,,,,,2020-03-11 22:15:38.030572
46,Israel,8547100,97,0,1.00000000,,3.00000000,0.00001135,0.00000000,0.00000012,,0.00000035,0.00000000,2020-03-11 22:15:38.030572
47,Italy,60600590,12462,827,1028.00000000,,1045.00000000,0.00020564,0.00001365,0.00001696,,0.00001724,0.44177350,2020-03-11 22:15:38.030572
48,Jamaica,2881355,2,0,,,,0.00000069,0.00000000,,,,,2020-03-11 22:15:38.030572
49,Jordan,9455802,1,0,,,,0.00000011,0.00000000,,,,,2020-03-11 22:15:38.030572
50,Japan,126994511,638,16,26.00000000,,59.00000000,0.00000502,0.00000013,0.00000020,,0.00000046,0.21333333,2020-03-11 22:15:38.030572
51,Cambodia,15762370,3,0,,,1.00000000,0.00000019,0.00000000,,,0.00000006,0.00000000,2020-03-11 22:15:38.030572
52,South Korea,51245707,7869,66,,36.00000000,333.00000000,0.00015355,0.00000129,,0.00000070,0.00000650,0.16541353,2020-03-11 22:15:38.030572
53,Kuwait,4052584,72,0,2.00000000,1.00000000,2.00000000,0.00001777,0.00000000,0.00000049,0.00000025,0.00000049,0.00000000,2020-03-11 22:15:38.030572
54,Lebanon,6006668,61,2,,3.00000000,,0.00001016,0.00000033,,0.00000050,,,2020-03-11 22:15:38.030572
55,Liechtenstein,37666,1,0,,,,0.00002655,0.00000000,,,,,2020-03-11 22:15:38.030572
56,Sri Lanka,21203000,2,0,,,1.00000000,0.00000009,0.00000000,,,0.00000005,0.00000000,2020-03-11 22:15:38.030572
57,Lithuania,2872298,3,0,,,,0.00000104,0.00000000,,,,,2020-03-11 22:15:38.030572
58,Luxembourg,582972,7,0,,,,0.00001201,0.00000000,,,,,2020-03-11 22:15:38.030572
59,Latvia,1960424,6,0,,,,0.00000306,0.00000000,,,,,2020-03-11 22:15:38.030572
