MAINLAND CHINA,Cases,Deaths,Notes,Links
Hubei province (includes Wuhan),66337,2727,"7,370 serious",Source
Guangdong province,1349,7,"18 serious, 20 critical",Source
Henan province,1272,21,"7 serious, 6 critical",Source
Zhejiang province,1205,1,"10 serious, 9 critical",Source
Hunan province,1018,4,19 serious,Source
Beijing,411,8,,Source
Shanghai,337,3,10 serious,Source
Other regions,7322,64,,Source
TOTAL,79251,2835,"7,664 serious39,002 recovered1,418 suspected",
