date2,unixtime,adm0_a3,lat,lon,jhu_country_region,jhu_state_province,nyt_name,asia_map_label,asia_map_label_desktop_only,confirmed,deaths,recovered
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,32,116.1,China,Anhui,,,,990,6,984
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,39.9,116.3,China,Beijing,,count_only,,435,8,326
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,29.5,106.4,China,Chongqing,,,,576,6,554
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,25.92,117.17,China,Fujian,,,,296,1,295
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,40.39,96.81,China,Gansu,,,,127,2,88
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,22.9,112.4,China,Guangdong,,,,1356,8,1282
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,23.72,108.66,China,Guangxi,,,,252,2,238
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,26.91,105.48,China,Guizhou,,,,146,2,133
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,19.15,109.37,China,Hainan,,,,168,6,159
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,38.48,115.24,China,Hebei,,,,318,6,307
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,46.8,127.07,China,Heilongjiang,,,,482,13,436
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,33.9,112.4,China,Henan,,,,1273,22,1249
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,32.05,110.5,China,Hubei,,count_only,,67773,3046,49134
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,27.4,110.4,China,Hunan,,,,1018,4,995
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,43.61,113.35,China,Inner Mongolia,,,,75,1,71
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,33.15,119.58,China,Jiangsu,,,,631,0,627
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,27.28,114.91,China,Jiangxi,,,,935,1,932
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,43.85,126.5,China,Jilin,,,,93,1,91
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,41.3,121.9,China,Liaoning,,,,125,1,111
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,37.3,104.85,China,Ningxia,,,,75,0,72
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,35.39,93.99,China,Qinghai,,,,18,0,18
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,35.63,106.12,China,Shaanxi,,,,245,1,232
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,36.4,116.5,China,Shandong,,,,760,6,726
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,31.19,121.48,China,Shanghai,,,,344,3,320
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,37.64,110.15,China,Shanxi,,,,133,0,131
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,30.8,103.8,China,Sichuan,,,,539,3,488
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,39.13,117.01,China,Tianjin,,,,136,3,131
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,31.6,84.27,China,Tibet,,,,1,0,1
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,40.06,87.7,China,Xinjiang,,,,76,3,73
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,24.64,101.29,China,Yunnan,,,,174,2,170
Wed Mar 11 16:59:39 PDT 2020,1583971179,CHN,29.1,120.1,China,Zhejiang,,,,1215,1,1195
Wed Mar 11 16:59:39 PDT 2020,1583971179,AUS,-32.74,145.56,Australia,New South Wales,,,,65,2,4
Wed Mar 11 16:59:39 PDT 2020,1583971179,AUS,-20.9176,142.7028,Australia,Queensland,,,,20,0,8
Wed Mar 11 16:59:39 PDT 2020,1583971179,AUS,-34.93,138.61,Australia,South Australia,,,,9,0,2
Wed Mar 11 16:59:39 PDT 2020,1583971179,AUS,-36.56,143.25,Australia,Victoria,,,,21,0,7
Wed Mar 11 16:59:39 PDT 2020,1583971179,AUS,-36.56,143.25,Australia,From Diamond Princess,,,,0,0,0
Wed Mar 11 16:59:39 PDT 2020,1583971179,AUS,-36.56,143.25,Australia,Western Australia,,,,9,1,0
Wed Mar 11 16:59:39 PDT 2020,1583971179,CAN,54.84,-125.1,Canada,British Columbia,,,,39,1,4
Wed Mar 11 16:59:39 PDT 2020,1583971179,CAN,51.4,-87.12,Canada,"London, ON",,,,0,0,0
Wed Mar 11 16:59:39 PDT 2020,1583971179,CAN,51.4,-87.12,Canada,Ontario,,,,41,0,4
Wed Mar 11 16:59:39 PDT 2020,1583971179,CAN,51.4,-87.12,Canada,"Toronto, ON",,,,0,0,0
Wed Mar 11 16:59:39 PDT 2020,1583971179,CAN,51.4,-87.12,Canada,"Montreal, QC",,,,0,0,0
