date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Sat Mar  7 09:20:16 PST 2020,1583601616,AUS,Australia,Australia,,-25.274,133.775,True,True,True,,,,,DO NOT OVERRIDE,True,True,Australia,,,,,,,,Australia,,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,CAN,Canada,Canada,,56.13,-106.347,True,True,True,,,,,DO NOT OVERRIDE,True,True,Canada,,,,,,,,Canada,,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,MTQ,Martinique,Martinique,,14.642,-61.024,True,,False,,,,,,,,Martinique,,,,,,,,Martinique,,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,CHN,Mainland China,Mainland China,,35.862,104.195,True,True,True,3,,,,DO NOT OVERRIDE,True,,China,,,,,China,China,,Mainland China,,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,USA,United States,US,,37.09,-95.713,True,True,True,,,,,,True,,U.S.,,,,,U.S.,the United States,,US,,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,CHN,,Mainland China,Tibet,31.6,84.27,True,,,,,,,,,,Mainland China,,,,,,,,Tibet (Mainland China),,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,AUS,,Australia,From Diamond Princess,-36.56,143.25,True,,,,,,,,,,Australia,,,,,,,,From Diamond Princess (Australia),,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,AUS,,Australia,Western Australia,-36.56,143.25,True,,,,,,,,,,Australia,,,,,,,,Western Australia (Australia),,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,CAN,,Canada,"London, ON",51.4,-87.12,True,,,,,,,,,,Canada,,,,,,,,"London, ON (Canada)",,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,CAN,,Canada,Ontario,51.4,-87.12,True,,,,,,,,,,Canada,,,,,,,,Ontario (Canada),,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,CAN,,Canada,"Montreal, QC",51.4,-87.12,True,,,,,,,,,,Canada,,,,,,,,"Montreal, QC (Canada)",,0,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,AFG,Afghanistan,Afghanistan,,33.939,67.71,True,True,True,,JHU issue. Pls keep it,1,,Mar. 7,,,Afghanistan,,,,,,,,Afghanistan,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,ARM,Armenia,Armenia,,40.069,45.038,True,True,True,,JHU issue. Pls keep it,1,,Mar. 7,,,Armenia,,,,,,,,Armenia,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,BTN,Bhutan,Bhutan,,27.514,90.434,True,True,True,,JHU,1,,Mar. 6,,,Bhutan,,,,,,,,Bhutan,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,CMR,Cameroon,Cameroon,,7.37,12.355,True,True,True,,JHU issue,1,,Mar. 7,,,Cameroon,,,,,,,,Cameroon,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,COL,Colombia,Colombia,,4.571,-74.297,True,True,True,,JHU issue,1,,Mar. 7,,,Colombia,,,,,,,,Colombia,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,CRI,Costa Rica,Costa Rica,,9.749,-83.753,True,True,True,,JHU issue,1,,Mar. 7,,,Costa Rica,,,,,,,,Costa Rica,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,FRO,Faroe Islands,,,61.893,-6.912,True,True,False,,JHU issue,1,,Mar. 7,,,,,,,,,,,,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,JOR,Jordan,Jordan,,30.585,36.238,True,True,True,,NYT. pls keep. JHU doesn't have it.,1,,Mar. 7,,,Jordan,,,,,,,,Jordan,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,KHM,Cambodia,Cambodia,,12.566,104.991,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,0,Mar. 7,,,Cambodia,,,,,,,,Cambodia,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,LKA,Sri Lanka,Sri Lanka,,7.873,80.772,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,Mar. 7,,,Sri Lanka,,,,,,,,Sri Lanka,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,LTU,Lithuania,Lithuania,,55.169,23.881,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,Mar. 7,,,Lithuania,,,,,,,,Lithuania,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,MCO,Monaco,Monaco,,43.75,7.413,True,True,True,,JH dashboard but not sheet,1,,Mar. 7,,,Monaco,,,,,,,,Monaco,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,MLT,Malta,Malta,,35.937,14.375,True,True,True,,NYT reporter Elian Peltier.,1,,Mar. 7,,,Malta,,,,,,,,Malta,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,NGA,Nigeria,Nigeria,,9.082,8.675,True,True,True,,JH dashboard but not sheet,1,,Mar. 7,True,True,Nigeria,top,,,,,,,Nigeria,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,NPL,Nepal,Nepal,,28.395,84.124,True,True,True,,JHU dashboard but not sheet,1,,Mar. 7,,,Nepal,left,,,,,,,Nepal,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,PER,Peru,Peru,,-9.19,-75.015,True,True,True,,JHU,1,,Mar. 7,,,Peru,,,,,,,,Peru,,1,0,,
Sat Mar  7 09:20:16 PST 2020,1583601616,SRB,Serbia,Serbia,,44.017,21.006,True,True,True,,JHU issue,1,,Mar. 7,,,Serbia,,,,,,,,Serbia,,1,0,,
