date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Mon Mar  9 13:50:22 PDT 2020,1583787022,LIE,Liechtenstein,47.166,9.555,Liechtenstein,,True,True,True,,JH dashboard but not sheet,1,,0001-03-07,,Liechtenstein,Liechtenstein,,,,,,,,,Liechtenstein,1,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CMR,Cameroon,7.37,12.355,Cameroon,,True,True,True,,JHU issue,2,,0001-03-07,,Cameroon,Cameroon,,,,,,,,,Cameroon,2,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,FRO,Faroe Islands,61.893,-6.912,Faroe Islands,,True,True,False,,JHU issue. Also it's not included in Denmark national count: https://stps.dk/da/,2,,0001-03-08,,Faroe Islands,Faroe Islands,,,,,,,,,Faroe Islands,2,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,KHM,Cambodia,12.566,104.991,Cambodia,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",2,,0001-03-08,,Cambodia,Cambodia,,,,,,,,,Cambodia,2,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,NGA,Nigeria,9.082,8.675,Nigeria,,True,True,True,,JHU issue; Nigeria 2nd case confirmed (Allison),2,,0001-03-09,,Nigeria,Nigeria,True,True,top,,,,,,Nigeria,2,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,MAR,Morocco,31.792,-7.093,Morocco,,True,True,True,,JH dashboard but not sheet,2,,0001-03-07,,Morocco,Morocco,,,,,,,,,Morocco,2,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,BIH,Bosnia and Herzegovina,43.916,17.679,Bosnia and Herzegovina,,True,True,True,,JHU issue,3,,0001-03-08,,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,Bosnia and Herzegovina,3,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,BGD,Bangladesh,23.685,90.356,Bangladesh,,True,True,True,,,3,,,,Bangladesh,Bangladesh,,,,,,,,,Bangladesh,3,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,LUX,Luxembourg,49.815,6.13,Luxembourg,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",3,,0001-03-08,,Luxembourg,Luxembourg,,,,,,,,,Luxembourg,3,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,MKD,North Macedonia,41.609,21.745,North Macedonia,,True,True,True,,JHU issue; NYT name change as of Feb. 11,3,,0001-03-08,,North Macedonia,North Macedonia,,,,,,,,,North Macedonia,3,0,0
