date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Tue Mar 10 00:04:54 PDT 2020,1583823894,MTQ,Martinique,14.642,-61.024,Martinique,,True,,False,,,,,,,Martinique,Martinique,,,,,,,,,Martinique,0,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,GUF,French Guiana,3.934,-51.925,French Guiana,,True,,,,,,,,,French Guiana,French Guiana,,,,,,,,,French Guiana,0,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,CHN,,31.6,84.27,Mainland China,Tibet,True,,,,,,,,,,,,,,,,,,,Tibet (Mainland China),0,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,AUS,,-34.93,138.61,Australia,South Australia,True,,,,,,,,,,,,,,,,,,,South Australia (Australia),0,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,AUS,,-36.56,143.25,Australia,From Diamond Princess,True,,,,,,,,,,,,,,,,,,,From Diamond Princess (Australia),0,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,AUS,,-36.56,143.25,Australia,Western Australia,True,,,,,,,,,,,,,,,,,,,Western Australia (Australia),0,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,CAN,,51.4,-87.12,Canada,"London, ON",True,,,,,,,,,,,,,,,,,,,"London, ON (Canada)",0,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,CAN,,51.4,-87.12,Canada,"Toronto, ON",True,,,,,,,,,,,,,,,,,,,"Toronto, ON (Canada)",0,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,CAN,,51.4,-87.12,Canada,"Montreal, QC",True,,,,,,,,,,,,,,,,,,,"Montreal, QC (Canada)",0,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,ARM,Armenia,40.069,45.038,Armenia,,True,True,True,,JHU issue. Pls keep it,1,,0001-03-07,,Armenia,Armenia,,,,,,,,,Armenia,1,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,BRN,Brunei,4.535,114.728,Brunei,,True,True,True,,JHU issue,1,,0001-03-10,,Brunei,Brunei,,,,,,,,,Brunei,1,0,0
Tue Mar 10 00:04:54 PDT 2020,1583823894,BTN,Bhutan,27.514,90.434,Bhutan,,True,True,True,,JHU,1,,0001-03-06,,Bhutan,Bhutan,,,,,,,,,Bhutan,1,0,0
