date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,is_country,travel_warning,source,override_count,override_deaths,override_date,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Thu Mar  5 13:50:48 PST 2020,1583445048,AUS,Australia,Australia,,-25.274,133.775,True,True,,,,,,True,True,Australia,,,,,,,,Australia,,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CAN,Canada,Canada,,56.13,-106.347,True,True,,,,,,True,True,Canada,,,,,,,,Canada,,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,China,Mainland China,,35.862,104.195,True,True,3,,,,,True,,China,,,,,China*,China,,Mainland China,,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,United States,US,,37.09,-95.713,True,True,,,,,,True,True,U.S.,,,,,U.S.,the United States,,US,,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Tibet,31.6,84.27,True,,,,,,,,,Mainland China,,,,,,,,Tibet (Mainland China),,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AUS,,Australia,From Diamond Princess,-36.56,143.25,True,,,,,,,,,Australia,,,,,,,,From Diamond Princess (Australia),,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AUS,,Australia,Western Australia,-36.56,143.25,True,,,,,,,,,Australia,,,,,,,,Western Australia (Australia),,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CAN,,Canada,"London, ON",51.4,-87.12,True,,,,,,,,,Canada,,,,,,,,"London, ON (Canada)",,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CAN,,Canada,Ontario,51.4,-87.12,True,,,,,,,,,Canada,,,,,,,,Ontario (Canada),,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CAN,,Canada,"Montreal, QC",51.4,-87.12,True,,,,,,,,,Canada,,,,,,,,"Montreal, QC (Canada)",,0,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AFG,Afghanistan,Afghanistan,,33.939,67.71,True,True,,JHU issue. Pls keep it,1,,0001-03-03,,,Afghanistan,,,,,,,,Afghanistan,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,ARM,Armenia,Armenia,,40.069,45.038,True,True,,JHU issue. Pls keep it,1,,0001-03-03,,,Armenia,,,,,,,,Armenia,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,ARG,Argentina,Argentina,,-38.416,-63.617,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,True,Argentina,,,,,,,,Argentina,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHL,Chile,Chile,,-35.675,-71.543,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,True,True,Chile,,,,,,,,Chile,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,DOM,Dominican Republic,Dominican Republic,,18.736,-70.163,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,,,Dominican Republic,,,,,,,,Dominican Republic,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,FRO,Faroe Islands,,,61.893,-6.912,True,True,,JHU issue,1,,0001-03-04,,,,,,,,,,,,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,JOR,Jordan,Jordan,,30.585,36.238,True,True,,NYT. pls keep. JHU doesn't have it.,1,,0001-03-02,,,Jordan,,,,,,,,Jordan,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,KHM,Cambodia,Cambodia,,12.566,104.991,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,0,0001-03-03,,,Cambodia,,,,,,,,Cambodia,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,LKA,Sri Lanka,Sri Lanka,,7.873,80.772,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,,,Sri Lanka,,,,,,,,Sri Lanka,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,LTU,Lithuania,Lithuania,,55.169,23.881,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,,,Lithuania,,,,,,,,Lithuania,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,LUX,Luxembourg,Luxembourg,,49.815,6.13,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,,,Luxembourg,,,,,,,,Luxembourg,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,MCO,Monaco,Monaco,,43.75,7.413,True,True,,JH dashboard but not sheet,1,,0001-03-03,,,Monaco,,,,,,,,Monaco,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,MKD,Republic of Macedonia,North Macedonia,,41.609,21.745,True,True,,JHU issue,1,,0001-03-04,,,North Macedonia,,,,,,,,North Macedonia,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,NGA,Nigeria,Nigeria,,9.082,8.675,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,True,Nigeria,top,,,,,,,Nigeria,,1,0,,
