date2,unixtime,county,state,postal,lat,lon,county_full,countytext,population_2010,countyfips,county_id,active,confirmed,deaths
Thu Mar  5 13:30:32 PST 2020,1583443832,Hillsborough,Florida,FL,27.90659,-82.349568,Hillsborough County,FL HILLSBOROUGH,1229226,12057,57,True,2,0
Thu Mar  5 13:30:32 PST 2020,1583443832,Walla Walla,Washington,WA,46.254606,-118.480374,Walla Walla County,WA WALLA WALLA,58781,53071,71,True,1,0
Thu Mar  5 13:30:32 PST 2020,1583443832,Grafton,New Hampshire,NH,43.926488,-71.842264,Grafton County,NH GRAFTON,89118,33009,9,True,2,0
Thu Mar  5 13:30:32 PST 2020,1583443832,Placer,California,CA,39.062032,-120.722718,Placer County,CA PLACER,348432,6061,61,True,2,1
Thu Mar  5 13:30:32 PST 2020,1583443832,Norfolk,Massachusetts,MA,42.169702,-71.179875,Norfolk County,MA NORFOLK,670850,25021,21,True,1,0
Thu Mar  5 13:30:32 PST 2020,1583443832,Fulton,Georgia,GA,33.790034,-84.468182,Fulton County,GA FULTON,920581,13121,121,True,2,0
Thu Mar  5 13:30:32 PST 2020,1583443832,San Mateo,California,CA,37.414664,-122.371542,San Mateo County,CA SAN MATEO,718451,6081,81,True,1,0
Thu Mar  5 13:30:32 PST 2020,1583443832,Wake,North Carolina,NC,35.789846,-78.650624,Wake County,NC WAKE,900993,37183,183,True,1,0
Thu Mar  5 13:30:32 PST 2020,1583443832,Contra Costa,California,CA,37.919479,-121.951543,Contra Costa County,CA CONTRA COSTA,1049025,6013,13,True,1,0
Thu Mar  5 13:30:32 PST 2020,1583443832,Westchester,New York,NY,41.15277,-73.745912,Westchester County,NY WESTCHESTER,949113,36119,119,True,9,0
Thu Mar  5 13:30:32 PST 2020,1583443832,Fort Bend,Texas,TX,29.526602,-95.771015,Fort Bend County,TX FORT BEND,585375,48157,157,True,1,0
Thu Mar  5 13:30:32 PST 2020,1583443832,Bergen,New Jersey,NJ,40.95909,-74.074522,Bergen County,NJ BERGEN,905116,34003,3,True,1,0
