NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,date2,unixtime
California,39512223,79,1,CA,383,Sat Mar  7 08:33:22 PST 2020,1583598802
Colorado,5758736,8,0,CO,91,Sat Mar  7 08:33:22 PST 2020,1583598802
Florida,21477737,8,2,FL,211,Sat Mar  7 08:33:22 PST 2020,1583598802
Georgia,10617423,6,0,GA,147,Sat Mar  7 08:33:22 PST 2020,1583598802
Illinois,12671821,6,0,IL,194,Sat Mar  7 08:33:22 PST 2020,1583598802
Massachusetts,6892503,8,0,MA,78,Sat Mar  7 08:33:22 PST 2020,1583598802
Nebraska,1934408,14,0,NE,91,Sat Mar  7 08:33:22 PST 2020,1583598802
New York,19453561,44,0,NY,194,Sat Mar  7 08:33:22 PST 2020,1583598802
Texas,28995881,19,0,TX,457,Sat Mar  7 08:33:22 PST 2020,1583598802
Washington,7614893,86,14,WA,101,Sat Mar  7 08:33:22 PST 2020,1583598802
