State,Confirmed Cases,Deaths,date2,unixtime
California,51,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Washington,32,9,Wed Mar  4 11:57:50 PST 2020,1583351870
Nebraska,13,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Texas,11,0,Wed Mar  4 11:57:50 PST 2020,1583351870
New York,6,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Illinois,4,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Florida,3,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Arizona,2,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Massachusetts,2,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Oregon,2,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Rhode Island,2,0,Wed Mar  4 11:57:50 PST 2020,1583351870
New Hampshire,2,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Georgia,2,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Wisconsin,1,0,Wed Mar  4 11:57:50 PST 2020,1583351870
Utah,1,0,Wed Mar  4 11:57:50 PST 2020,1583351870
North Carolina,1,0,Wed Mar  4 11:57:50 PST 2020,1583351870
