NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,date2,unixtime
Arizona,7278717,5,0,AZ,94,Sat Mar  7 20:16:48 PST 2020,1583641008
California,39512223,98,1,CA,383,Sat Mar  7 20:16:48 PST 2020,1583641008
Colorado,5758736,8,0,CO,91,Sat Mar  7 20:16:48 PST 2020,1583641008
Florida,21477737,12,2,FL,211,Sat Mar  7 20:16:48 PST 2020,1583641008
Georgia,10617423,7,0,GA,147,Sat Mar  7 20:16:48 PST 2020,1583641008
Hawaii,1415872,1,0,HI,25,Sat Mar  7 20:16:48 PST 2020,1583641008
Illinois,12671821,6,0,IL,194,Sat Mar  7 20:16:48 PST 2020,1583641008
Indiana,6732219,1,0,IN,147,Sat Mar  7 20:16:48 PST 2020,1583641008
Kansas,2913314,1,0,KS,139,Sat Mar  7 20:16:48 PST 2020,1583641008
Kentucky,4467673,1,0,KY,102,Sat Mar  7 20:16:48 PST 2020,1583641008
Maryland,6045680,3,0,MD,56,Sat Mar  7 20:16:48 PST 2020,1583641008
Massachusetts,6892503,13,0,MA,78,Sat Mar  7 20:16:48 PST 2020,1583641008
Minnesota,5639632,1,0,MN,138,Sat Mar  7 20:16:48 PST 2020,1583641008
Missouri,6137428,1,0,MO,123,Sat Mar  7 20:16:48 PST 2020,1583641008
Nebraska,1934408,14,0,NE,91,Sat Mar  7 20:16:48 PST 2020,1583641008
Nevada,3080156,2,0,NV,45,Sat Mar  7 20:16:48 PST 2020,1583641008
New Hampshire,1359711,2,0,NH,28,Sat Mar  7 20:16:48 PST 2020,1583641008
New Jersey,8882190,4,0,NJ,80,Sat Mar  7 20:16:48 PST 2020,1583641008
New York,19453561,89,0,NY,194,Sat Mar  7 20:16:48 PST 2020,1583641008
North Carolina,10488084,2,0,NC,120,Sat Mar  7 20:16:48 PST 2020,1583641008
Oklahoma,3956971,1,0,OK,130,Sat Mar  7 20:16:48 PST 2020,1583641008
Oregon,4217737,6,0,OR,62,Sat Mar  7 20:16:48 PST 2020,1583641008
Pennsylvania,12801989,4,0,PA,190,Sat Mar  7 20:16:48 PST 2020,1583641008
Rhode Island,1059361,3,0,RI,12,Sat Mar  7 20:16:48 PST 2020,1583641008
South Carolina,5148714,2,0,SC,67,Sat Mar  7 20:16:48 PST 2020,1583641008
Tennessee,6829174,1,0,TN,118,Sat Mar  7 20:16:48 PST 2020,1583641008
Texas,28995881,19,0,TX,457,Sat Mar  7 20:16:48 PST 2020,1583641008
Utah,3205958,2,0,UT,52,Sat Mar  7 20:16:48 PST 2020,1583641008
Vermont,623989,1,0,VT,16,Sat Mar  7 20:16:48 PST 2020,1583641008
Virginia,8535519,1,0,VA,95,Sat Mar  7 20:16:48 PST 2020,1583641008
Washington,7614893,110,16,WA,101,Sat Mar  7 20:16:48 PST 2020,1583641008
Wisconsin,5822434,1,0,WI,136,Sat Mar  7 20:16:48 PST 2020,1583641008
