State,Confirmed Cases,Deaths,date2,unixtime
California,51,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Washington,32,9,Wed Mar  4 11:57:12 PST 2020,1583351832
Nebraska,13,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Texas,11,0,Wed Mar  4 11:57:12 PST 2020,1583351832
New York,6,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Illinois,4,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Florida,3,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Arizona,2,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Massachusetts,2,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Oregon,2,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Rhode Island,2,0,Wed Mar  4 11:57:12 PST 2020,1583351832
New Hampshire,2,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Georgia,2,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Wisconsin,1,0,Wed Mar  4 11:57:12 PST 2020,1583351832
Utah,1,0,Wed Mar  4 11:57:12 PST 2020,1583351832
North Carolina,1,0,Wed Mar  4 11:57:12 PST 2020,1583351832
