State,Confirmed Cases,Deaths,date2,unixtime
California,51,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Washington,32,9,Wed Mar  4 11:57:01 PST 2020,1583351821
Nebraska,13,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Texas,11,0,Wed Mar  4 11:57:01 PST 2020,1583351821
New York,6,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Illinois,4,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Florida,3,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Arizona,2,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Massachusetts,2,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Oregon,2,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Rhode Island,2,0,Wed Mar  4 11:57:01 PST 2020,1583351821
New Hampshire,2,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Georgia,2,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Wisconsin,1,0,Wed Mar  4 11:57:01 PST 2020,1583351821
Utah,1,0,Wed Mar  4 11:57:01 PST 2020,1583351821
North Carolina,1,0,Wed Mar  4 11:57:01 PST 2020,1583351821
