NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,date2,unixtime
Arizona,7278717,5,0,AZ,94,Mon Mar  9 08:49:55 PDT 2020,1583768995
California,39512223,111,1,CA,383,Mon Mar  9 08:49:55 PDT 2020,1583768995
Colorado,5758736,8,0,CO,91,Mon Mar  9 08:49:55 PDT 2020,1583768995
Connecticut,3565287,1,0,CT,37,Mon Mar  9 08:49:55 PDT 2020,1583768995
Florida,21477737,13,2,FL,211,Mon Mar  9 08:49:55 PDT 2020,1583768995
Georgia,10617423,11,0,GA,147,Mon Mar  9 08:49:55 PDT 2020,1583768995
Hawaii,1415872,2,0,HI,25,Mon Mar  9 08:49:55 PDT 2020,1583768995
Illinois,12671821,7,0,IL,194,Mon Mar  9 08:49:55 PDT 2020,1583768995
Indiana,6732219,2,0,IN,147,Mon Mar  9 08:49:55 PDT 2020,1583768995
Iowa,3155070,3,0,IA,118,Mon Mar  9 08:49:55 PDT 2020,1583768995
Kansas,2913314,1,0,KS,139,Mon Mar  9 08:49:55 PDT 2020,1583768995
Kentucky,4467673,4,0,KY,102,Mon Mar  9 08:49:55 PDT 2020,1583768995
Maryland,6045680,5,0,MD,56,Mon Mar  9 08:49:55 PDT 2020,1583768995
Massachusetts,6892503,28,0,MA,78,Mon Mar  9 08:49:55 PDT 2020,1583768995
Minnesota,5639632,2,0,MN,138,Mon Mar  9 08:49:55 PDT 2020,1583768995
Missouri,6137428,1,0,MO,123,Mon Mar  9 08:49:55 PDT 2020,1583768995
Nebraska,1934408,16,0,NE,91,Mon Mar  9 08:49:55 PDT 2020,1583768995
Nevada,3080156,4,0,NV,45,Mon Mar  9 08:49:55 PDT 2020,1583768995
New Hampshire,1359711,4,0,NH,28,Mon Mar  9 08:49:55 PDT 2020,1583768995
New Jersey,8882190,6,0,NJ,80,Mon Mar  9 08:49:55 PDT 2020,1583768995
New York,19453561,106,0,NY,194,Mon Mar  9 08:49:55 PDT 2020,1583768995
North Carolina,10488084,2,0,NC,120,Mon Mar  9 08:49:55 PDT 2020,1583768995
Oklahoma,3956971,1,0,OK,130,Mon Mar  9 08:49:55 PDT 2020,1583768995
Oregon,4217737,13,0,OR,62,Mon Mar  9 08:49:55 PDT 2020,1583768995
Pennsylvania,12801989,6,0,PA,190,Mon Mar  9 08:49:55 PDT 2020,1583768995
Rhode Island,1059361,3,0,RI,12,Mon Mar  9 08:49:55 PDT 2020,1583768995
South Carolina,5148714,6,0,SC,67,Mon Mar  9 08:49:55 PDT 2020,1583768995
Tennessee,6829174,3,0,TN,118,Mon Mar  9 08:49:55 PDT 2020,1583768995
Texas,28995881,23,0,TX,457,Mon Mar  9 08:49:55 PDT 2020,1583768995
Utah,3205958,2,0,UT,52,Mon Mar  9 08:49:55 PDT 2020,1583768995
Vermont,623989,1,0,VT,16,Mon Mar  9 08:49:55 PDT 2020,1583768995
Virginia,8535519,2,0,VA,95,Mon Mar  9 08:49:55 PDT 2020,1583768995
Washington,7614893,141,19,WA,101,Mon Mar  9 08:49:55 PDT 2020,1583768995
Wisconsin,5822434,1,0,WI,136,Mon Mar  9 08:49:55 PDT 2020,1583768995
