State,Confirmed Cases,Deaths,date2,unixtime
California,51,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Washington,32,9,Wed Mar  4 11:57:37 PST 2020,1583351857
Nebraska,13,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Texas,11,0,Wed Mar  4 11:57:37 PST 2020,1583351857
New York,6,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Illinois,4,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Florida,3,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Arizona,2,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Massachusetts,2,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Oregon,2,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Rhode Island,2,0,Wed Mar  4 11:57:37 PST 2020,1583351857
New Hampshire,2,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Georgia,2,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Wisconsin,1,0,Wed Mar  4 11:57:37 PST 2020,1583351857
Utah,1,0,Wed Mar  4 11:57:37 PST 2020,1583351857
North Carolina,1,0,Wed Mar  4 11:57:37 PST 2020,1583351857
