NAME,POPESTIMATE2019,Confirmed Cases,Deaths,date2,unixtime
Arizona,7278717,2,0,Wed Mar  4 15:09:42 PST 2020,1583363382
California,39512223,51,1,Wed Mar  4 15:09:42 PST 2020,1583363382
Florida,21477737,3,0,Wed Mar  4 15:09:42 PST 2020,1583363382
Georgia,10617423,2,0,Wed Mar  4 15:09:42 PST 2020,1583363382
Illinois,12671821,4,0,Wed Mar  4 15:09:42 PST 2020,1583363382
Massachusetts,6892503,2,0,Wed Mar  4 15:09:42 PST 2020,1583363382
Nebraska,1934408,13,0,Wed Mar  4 15:09:42 PST 2020,1583363382
New Hampshire,1359711,2,0,Wed Mar  4 15:09:42 PST 2020,1583363382
New York,19453561,11,0,Wed Mar  4 15:09:42 PST 2020,1583363382
North Carolina,10488084,1,0,Wed Mar  4 15:09:42 PST 2020,1583363382
Oregon,4217737,2,0,Wed Mar  4 15:09:42 PST 2020,1583363382
Rhode Island,1059361,2,0,Wed Mar  4 15:09:42 PST 2020,1583363382
Texas,28995881,11,0,Wed Mar  4 15:09:42 PST 2020,1583363382
Utah,3205958,1,0,Wed Mar  4 15:09:42 PST 2020,1583363382
Washington,7614893,44,10,Wed Mar  4 15:09:42 PST 2020,1583363382
Wisconsin,5822434,1,0,Wed Mar  4 15:09:42 PST 2020,1583363382
