NAME,POPESTIMATE2019,Confirmed Cases,Deaths,date2,unixtime
Arizona,7278717,2,0,Wed Mar  4 14:42:41 PST 2020,1583361761
California,39512223,51,1,Wed Mar  4 14:42:41 PST 2020,1583361761
Florida,21477737,3,0,Wed Mar  4 14:42:41 PST 2020,1583361761
Georgia,10617423,2,0,Wed Mar  4 14:42:41 PST 2020,1583361761
Illinois,12671821,4,0,Wed Mar  4 14:42:41 PST 2020,1583361761
Massachusetts,6892503,2,0,Wed Mar  4 14:42:41 PST 2020,1583361761
Nebraska,1934408,13,0,Wed Mar  4 14:42:41 PST 2020,1583361761
New Hampshire,1359711,2,0,Wed Mar  4 14:42:41 PST 2020,1583361761
New York,19453561,11,0,Wed Mar  4 14:42:41 PST 2020,1583361761
North Carolina,10488084,1,0,Wed Mar  4 14:42:41 PST 2020,1583361761
Oregon,4217737,2,0,Wed Mar  4 14:42:41 PST 2020,1583361761
Rhode Island,1059361,2,0,Wed Mar  4 14:42:41 PST 2020,1583361761
Texas,28995881,11,0,Wed Mar  4 14:42:41 PST 2020,1583361761
Utah,3205958,1,0,Wed Mar  4 14:42:41 PST 2020,1583361761
Washington,7614893,44,10,Wed Mar  4 14:42:41 PST 2020,1583361761
Wisconsin,5822434,1,0,Wed Mar  4 14:42:41 PST 2020,1583361761
