NAME,POPESTIMATE2019,Confirmed Cases,Deaths,date2,unixtime
Arizona,7278717,2,0,Wed Mar  4 12:05:34 PST 2020,1583352334
California,39512223,51,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Florida,21477737,3,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Georgia,10617423,2,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Illinois,12671821,4,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Massachusetts,6892503,2,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Nebraska,1934408,13,0,Wed Mar  4 12:05:34 PST 2020,1583352334
New Hampshire,1359711,2,0,Wed Mar  4 12:05:34 PST 2020,1583352334
New York,19453561,6,0,Wed Mar  4 12:05:34 PST 2020,1583352334
North Carolina,10488084,1,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Oregon,4217737,2,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Rhode Island,1059361,2,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Texas,28995881,11,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Utah,3205958,1,0,Wed Mar  4 12:05:34 PST 2020,1583352334
Washington,7614893,32,9,Wed Mar  4 12:05:34 PST 2020,1583352334
Wisconsin,5822434,1,0,Wed Mar  4 12:05:34 PST 2020,1583352334
