NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,Confirmed PerCapita,Deaths PerCapita,Cases per Hospital,Deaths per Hospital,Hospitals Per Capita
Arizona,7278717,5,0,AZ,94,0.000000686934249538758,0,0.0531914893617021,0,0.0000129143638913286
California,39512223,98,1,CA,383,0.00000248024516362949,0.0000000253086241186683,0.255874673629243,0.00261096605744125,0.00000969320303744996
Colorado,5758736,8,0,CO,91,0.00000138919373973733,0,0.0879120879120879,0,0.0000158020787895121
Florida,21477737,12,2,FL,211,0.000000558718080959833,0.0000000931196801599722,0.0568720379146919,0.00947867298578199,0.00000982412625687706
Georgia,10617423,7,0,GA,147,0.000000659293691133903,0,0.0476190476190476,0,0.000013845167513812
Hawaii,1415872,1,0,HI,25,0.00000070627853365276,0,0.04,0,0.000017656963341319
Illinois,12671821,6,0,IL,194,0.000000473491536851728,0,0.0309278350515464,0,0.0000153095596915392
Indiana,6732219,1,0,IN,147,0.000000148539434026136,0,0.00680272108843537,0,0.000021835296801842
Kansas,2913314,1,0,KS,139,0.000000343251705789352,0,0.00719424460431655,0,0.0000477119871047199
Kentucky,4467673,1,0,KY,102,0.000000223830168412057,0,0.00980392156862745,0,0.0000228306771780298
Maryland,6045680,3,0,MD,56,0.000000496222095777481,0,0.0535714285714286,0,0.00000926281245451298
Massachusetts,6892503,13,0,MA,78,0.00000188610726756303,0,0.166666666666667,0,0.0000113166436053782
Minnesota,5639632,1,0,MN,138,0.000000177316534128468,0,0.0072463768115942,0,0.0000244696817097286
Missouri,6137428,1,0,MO,123,0.000000162934701637233,0,0.00813008130081301,0,0.0000200409683013797
Nebraska,1934408,14,0,NE,91,0.00000723735633847668,0,0.153846153846154,0,0.0000470428162000984
Nevada,3080156,2,0,NV,45,0.000000649317761827648,0,0.0444444444444444,0,0.0000146096496411221
New Hampshire,1359711,2,0,NH,28,0.00000147090080171448,0,0.0714285714285714,0,0.0000205926112240027
New Jersey,8882190,4,0,NJ,80,0.000000450339387020543,0,0.05,0,0.00000900678774041087
New York,19453561,89,0,NY,194,0.00000457499786285915,0,0.458762886597938,0,0.00000997246725162555
North Carolina,10488084,2,0,NC,120,0.000000190692599334635,0,0.0166666666666667,0,0.0000114415559600781
Oklahoma,3956971,1,0,OK,130,0.000000252718556693996,0,0.00769230769230769,0,0.0000328534123702195
Oregon,4217737,6,0,OR,62,0.00000142256380613585,0,0.0967741935483871,0,0.0000146998259967371
Pennsylvania,12801989,4,0,PA,190,0.000000312451447974217,0,0.0210526315789474,0,0.0000148414437787753
Rhode Island,1059361,3,0,RI,12,0.00000283189583154373,0,0.25,0,0.0000113275833261749
South Carolina,5148714,2,0,SC,67,0.000000388446513051609,0,0.0298507462686567,0,0.0000130129581872289
Tennessee,6829174,1,0,TN,118,0.000000146430593216691,0,0.00847457627118644,0,0.0000172788099995695
Texas,28995881,19,0,TX,457,0.000000655265484087205,0,0.0415754923413567,0,0.0000157608592751502
Utah,3205958,2,0,UT,52,0.000000623838490710109,0,0.0384615384615385,0,0.0000162198007584628
Virginia,8535519,1,0,VA,95,0.000000117157492122037,0,0.0105263157894737,0,0.0000111299617515935
Washington,7614893,108,16,WA,101,0.0000141827337560751,0.00000210114574164076,1.06930693069307,0.158415841584158,0.0000132634824941073
Wisconsin,5822434,1,0,WI,136,0.000000171749477967462,0,0.00735294117647059,0,0.0000233579290035748
