COUNTY,HOSPITALS
CRAIGHEAD,2
CRANE,1
CRAVEN,1
CRAWFORD,11
CREEK,3
CRENSHAW,2
CRISP,1
CRITTENDEN,3
CROOK,2
CROSBY,1
CROSS,1
CROW WING,3
CULBERSON,1
CULLMAN,2
CULPEPER,1
CUMBERLAND,13
CUMING,1
CURRY,2
CUSTER,6
CUYAHOGA,18
County Name,1
DAKOTA,2
DALE,1
DALLAM,1
DALLAS,33
DANE,5
DANIELS,1
DANVILLE CITY,2
DARE,1
DARKE,1
DARLINGTON,2
DAUPHIN,3
DAVIDSON,12
DAVIE,1
DAVIESS,2
DAVIS,4
DAVISON,1
DAWES,1
DAWSON,5
DAY,1
DE KALB,12
DE SOTO,5
DE WITT,2
DEAF SMITH,1
DEARBORN,2
DECATUR,5
DEER LODGE,2
DEFIANCE,3
DEL NORTE,1
DELAWARE,12
DELTA,2
DENT,1
DENTON,13
DENVER,7
DES MOINES,1
DESCHUTES,2
DESHA,2
DEUEL,1
DEWEY,2
DICKENSON,1
DICKEY,1
DICKINSON,4
DICKSON,1
DILLINGHAM,1
DILLON,1
DIMMIT,1
DIVIDE,1
DODGE,4
DONA ANA,4
DOOLY,1
DOOR,1
DORCHESTER,1
DOUGHERTY,1
DOUGLAS,24
DREW,1
DU PAGE,7
DUBOIS,1
DUBUQUE,3
DUCHESNE,1
DUKES,1
DUNDY,1
DUNN,1
DUPLIN,1
DURHAM,3
DUTCHESS,2
DUVAL,10
DYER,1
E. BATON ROUGE,11
EAGLE,1
EARLY,1
EAST CARROLL,1
EAST FELICIANA,1
EASTERN DISTRICT,1
EASTLAND,1
EATON,2
EAU CLAIRE,4
ECTOR,2
EDDY,2
EDGAR,1
EDGECOMBE,1
EDGEFIELD,1
EDMUNDS,1
EDWARDS,1
EFFINGHAM,2
EL DORADO,2
EL PASO,19
ELBERT,1
ELK,1
ELKHART,3
ELKO,1
ELLIS,4
ELLSWORTH,1
ELMORE,3
EMANUEL,1
EMMET,2
EMMONS,1
EMPORIA CITY,1
ERATH,1
ERIE,14
ESCAMBIA,5
ESSEX,16
ESTILL,1
ETOWAH,3
EVANGELINE,2
EVANS,1
FAIRBANKS NORTH STAR,2
FAIRFAX,7
FAIRFIELD,9
FAJARDO,2
FALL RIVER,1
FALLON,1
FALLS,1
FANNIN,2
FARIBAULT,1
FAULK,1
FAULKNER,3
FAUQUIER,1
FAYETTE,19
FERGUS,1
FERRY,1
FILLMORE,1
FINNEY,1
FISHER,1
FLAGLER,1
FLATHEAD,3
FLEMING,1
FLORENCE,3
FLOYD,9
FOND DU LAC,4
FORD,3
FORREST,1
FORSYTH,5
FORT BEND,7
FOSTER,1
FRANKLIN,42
FRANKLIN CITY,1
FREDERICK,1
FREDERICKSBURG CITY,1
FREEBORN,1
FREESTONE,1
FREMONT,3
FRESNO,7
FRIO,1
FULTON,15
FURNAS,1
GADSDEN,1
GAGE,1
GAINES,1
GALAX CITY,1
GALLATIN,2
GALLIA,1
GALVESTON,3
GARDEN,1
GARFIELD,7
GARLAND,3
GARRETT,1
GARVIN,1
GASCONADE,1
GASTON,1
GEARY,2
GEAUGA,1
GEM,1
GENESEE,4
GENEVA,1
GENTRY,1
GEORGE,1
GEORGETOWN,1
GIBSON,2
GILA,3
GILES,2
GILLESPIE,1
GLACIER,2
GLADWIN,1
GLENN,1
GLOUCESTER,2
GLYNN,2
GOGEBIC,1
GONZALES,1
GOODHUE,2
GOODING,1
GORDON,1
GOSHEN,1
GOVE,1
GRADY,2
GRAFTON,5
GRAHAM,2
GRAND,2
GRAND FORKS,3
GRAND TRAVERSE,1
GRANITE,1
GRANT,17
GRANVILLE,3
GRATIOT,1
GRAVES,1
GRAY,1
GRAYS HARBOR,2
GRAYSON,4
GREELEY,1
GREEN,2
GREEN LAKE,1
GREENBRIER,1
GREENE,17
GREENVILLE,9
GREENWOOD,2
GREER,1
GREGG,3
GREGORY,2
GRENADA,1
GRIGGS,1
GRIMES,1
GRUNDY,3
GUADALUPE,2
GUAM,2
GUAYANILLA,1
GUAYNABO,1
GUERNSEY,2
GUILFORD,2
GULF,1
GUNNISON,1
GUTHRIE,1
GWINNETT,4
HAAKON,1
HABERSHAM,1
HALE,3
HALIFAX,3
HALL,2
HAMBLEN,1
HAMILTON,28
HAMPDEN,6
HAMPSHIRE,2
HAMPTON,1
HAMPTON CITY,2
HANCOCK,10
HAND,1
HANOVER,1
HANSFORD,1
HARALSON,1
HARDEE,1
HARDEMAN,4
HARDIN,6
HARFORD,2
HARLAN,2
HARMON,1
HARNETT,2
HARNEY,1
HARPER,2
HARRIS,47
HARRISON,12
HARRISONBURG CITY,1
HART,1
HARTFORD,8
HARVEY,2
HASKELL,3
HAWAII,6
HAWKINS,1
HAYS,4
HAYWOOD,1
HEMPHILL,1
HEMPSTEAD,1
HENDERSON,5
HENDRICKS,3
HENDRY,1
HENNEPIN,9
HENRICO,1
HENRY,9
HERKIMER,1
HERNANDO,3
HERTFORD,1
HICKMAN,1
HIDALGO,6
HIGHLAND,2
HIGHLANDS,2
HILL,2
HILLSBOROUGH,14
HILLSDALE,1
HINDS,5
HOCKING,1
HOCKLEY,1
HODGEMAN,1
HOKE,1
HOLMES,3
HOLT,3
HONOLULU,12
HOOD,1
HOOD RIVER,1
HOPEWELL CITY,1
HOPKINS,2
HORRY,5
HOT SPRING,1
HOT SPRINGS,1
HOUGHTON,2
HOUSTON,6
HOWARD,8
HOWELL,2
HUBBARD,1
HUDSON,7
HUERFANO,1
HUGHES,2
HUMACAO,3
HUMBOLDT,7
HUMPHREYS,1
HUNT,2
HUNTERDON,1
HUNTINGDON,1
HUNTINGTON,1
HURON,5
HUTCHINSON,3
IBERIA,1
IDA,1
IDAHO,2
IMPERIAL,2
INDEPENDENCE,1
INDIAN RIVER,2
INDIANA,1
INGHAM,2
INYO,2
IONIA,1
IOSCO,1
IOWA,2
IREDELL,3
IRON,3
IROQUOIS,1
IRWIN,1
ISABELLA,1
ISANTI,1
ISLAND,2
ITASCA,3
JACK,1
JACKSON,32
JAMES CITY,3
JASPER,9
JAY,1
JEFF DAVIS,1
JEFFERSON,56
JEFFERSON DAVIS,1
JEFFRSON DAVIS,2
JENKINS,1
JENNINGS,1
JERAULD,1
JEROME,1
JERSEY,1
JEWELL,1
JIM WELLS,1
JO DAVIESS,1
JOHNSON,24
JOHNSTON,2
JONES,4
JOSEPHINE,1
JUAB,1
JUNEAU,2
KALAMAZOO,3
KALKASKA,1
KANABEC,1
KANAWHA,5
KANDIYOHI,2
KANE,7
KANKAKEE,2
KARNES,1
KAUAI,3
KAUFMAN,2
KAY,2
KEARNEY,1
KEARNY,1
KEITH,1
KEMPER,1
KENAI PENINSULA,3
KENNEBEC,2
KENOSHA,2
KENT,9
KENTON,2
KEOKUK,1
KERN,11
KERR,2
KERSHAW,1
KETCHIKAN GATEWAY,1
KIMBALL,1
KIMBLE,1
KING,21
KINGFISHER,1
KINGMAN,1
KINGS,14
KINGSBURY,1
KIOWA,3
KIT CARSON,1
KITSAP,2
KITTITAS,1
KITTSON,1
KLAMATH,1
KLEBERG,1
KLICKITAT,2
KNOX,13
KODIAK ISLAND BOROUGH,1
KOOCHICHING,1
KOOTENAI,2
KOSCIUSKO,2
KOSSUTH,1
LA CROSSE,2
LA PLATA,2
LA PORTE,2
LA SALLE,3
LABETTE,2
LAC QUI PARLE,2
LACKAWANNA,4
LACLEDE,1
LAFAYETTE,13
LAFOURCHE,3
LAGRANGE,1
LAKE,32
LAKE OF WOODS,1
LAMAR,3
LAMB,1
LAMOILLE,1
LAMPASAS,1
LANCASTER,12
LANDER,1
LANE,6
LANGLADE,1
LANIER,1
LAPAZ,2
LAPEER,1
LARAMIE,1
LARES,1
LARIMER,5
LAS ANIMAS,1
LASALLE,2
LASSEN,1
LATAH,1
LATIMER,1
LAUDERDALE,6
LAUREL,1
LAURENS,2
LAVACA,2
LAWRENCE,14
LE FLORE,1
LE SUEUR,1
LEA,2
LEAKE,1
LEAVENWORTH,2
LEBANON,2
LEE,12
LEFLORE,1
LEHIGH,3
LEMHI,1
LENAWEE,2
LENOIR,1
LEON,3
LESLIE,1
LETCHER,1
LEVY,1
LEWIS,4
LEWIS AND CLARK,2
LEXINGTON,3
LEXINGTON CITY,1
LIBERTY,5
LICKING,1
LIMESTONE,3
LINCOLN,28
LINN,5
LITCHFIELD,2
LITTLE RIVER,1
LIVINGSTON,6
LLANO,1
LOGAN,9
LORAIN,5
LOS ALAMOS,1
LOS ANGELES,90
LOUDON,1
LOUDOUN,2
LOVE,1
LOWNDES,3
LUBBOCK,6
LUCAS,10
LUCE,1
LUNA,1
LUZERNE,4
LYCOMING,3
LYNCHBURG CITY,1
LYNN,1
LYON,5
MACKINAC,1
MACOMB,6
MACON,6
MACOUPIN,2
MADERA,2
MADISON,30
MAHASKA,1
MAHNOMEN,1
MAHONING,5
MAJOR,1
MALHEUR,1
MANASSAS CITY,1
MANATEE,5
MANATI,2
MANISTEE,1
MANITOWOC,2
MARATHON,3
MARENGO,1
MARICOPA,46
MARIN,3
MARINETTE,1
MARION,33
MARIPOSA,1
MARQUETTE,2
MARSHALL,14
MARTIN,5
MASON,5
MASSAC,1
MATAGORDA,2
MATANUSKA-SUSITNA,1
MAUI,4
MAURY,2
MAVERICK,1
MAYAGUEZ,3
MAYES,1
MC CRACKEN,2
MC CULLOCH,1
MC DONOUGH,1
MC DOWELL,2
MC DUFFIE,1
MC HENRY,2
MC KEAN,1
MC LEAN,2
MC LENNAN,2
MC LEOD,2
MC MINN,1
MC PHERSON,1
MCCLAIN,1
MCCONE,1
MCCURTAIN,1
MCINTOSH,2
MCKENZIE,1
MCKINLEY,4
MCLEAN,2
MCPHERSON,3
MEADE,2
MEAGHER,1
MECKLENBURG,9
MECOSTA,1
MEDINA,3
MEEKER,1
MENDOCINO,3
MERCED,2
MERCER,15
MERIWETHER,1
MERRICK,1
MERRIMACK,4
MESA,4
MIAMI,4
MIAMI-DADE,19
MIDDLESEX,24
MIDLAND,3
MIFFLIN,1
MILAM,1
MILLARD,2
MILLE LACS,2
