COUNTY,HOSPITALS
WRANGELL CITY AND BOROUGH,1
WRIGHT,5
WYANDOT,1
WYANDOTTE,2
WYOMING,2
WYTHE,1
YAKIMA,4
YALOBUSHA,1
YAMHILL,2
YANKTON,2
YATES,1
YAUCO,1
YAVAPAI,3
YAZOO,1
YELL,2
YELLOW MEDCINE,2
YELLOWSTONE,2
YOAKUM,1
YOLO,2
YORK,10
YOUNG,2
YUBA,1
YUMA,3
