COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
SAN FRANCISCO,805235,3,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SAN DIEGO,3095313,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
MARIN,252409,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SONOMA,483878,2,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SOLANO,413344,13,0,Thu Mar  5 17:12:48 PST 2020,1583457168
NAPA,136484,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
HUMBOLDT,134623,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SACRAMENTO,1418788,2,0,Thu Mar  5 17:12:48 PST 2020,1583457168
ALAMEDA,1510271,2,0,Thu Mar  5 17:12:48 PST 2020,1583457168
WALLA WALLA,58781,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
PLACER,348432,2,1,Thu Mar  5 17:12:48 PST 2020,1583457168
SAN MATEO,718451,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
CONTRA COSTA,1049025,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
ORANGE,3010232,3,0,Thu Mar  5 17:15:56 PST 2020,1583457356
LOS ANGELES,9818605,7,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SANTA CLARA,1781642,14,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SAN FRANCISCO,805235,3,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SAN DIEGO,3095313,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
MARIN,252409,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SONOMA,483878,2,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SOLANO,413344,13,0,Thu Mar  5 17:15:56 PST 2020,1583457356
NAPA,136484,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
HUMBOLDT,134623,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SACRAMENTO,1418788,2,0,Thu Mar  5 17:15:56 PST 2020,1583457356
ALAMEDA,1510271,2,0,Thu Mar  5 17:15:56 PST 2020,1583457356
WALLA WALLA,58781,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
PLACER,348432,2,1,Thu Mar  5 17:15:56 PST 2020,1583457356
SAN MATEO,718451,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
CONTRA COSTA,1049025,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
ORANGE,3010232,3,0,Thu Mar  5 17:20:05 PST 2020,1583457605
LOS ANGELES,9818605,7,0,Thu Mar  5 17:20:05 PST 2020,1583457605
SANTA CLARA,1781642,14,0,Thu Mar  5 17:20:05 PST 2020,1583457605
SAN FRANCISCO,805235,3,0,Thu Mar  5 17:20:05 PST 2020,1583457605
SAN DIEGO,3095313,1,0,Thu Mar  5 17:20:05 PST 2020,1583457605
MARIN,252409,1,0,Thu Mar  5 17:20:05 PST 2020,1583457605
SONOMA,483878,2,0,Thu Mar  5 17:20:05 PST 2020,1583457605
SOLANO,413344,13,0,Thu Mar  5 17:20:05 PST 2020,1583457605
NAPA,136484,1,0,Thu Mar  5 17:20:05 PST 2020,1583457605
HUMBOLDT,134623,1,0,Thu Mar  5 17:20:05 PST 2020,1583457605
SACRAMENTO,1418788,2,0,Thu Mar  5 17:20:05 PST 2020,1583457605
ALAMEDA,1510271,2,0,Thu Mar  5 17:20:05 PST 2020,1583457605
WALLA WALLA,58781,1,0,Thu Mar  5 17:20:05 PST 2020,1583457605
PLACER,348432,2,1,Thu Mar  5 17:20:05 PST 2020,1583457605
SAN MATEO,718451,1,0,Thu Mar  5 17:20:05 PST 2020,1583457605
CONTRA COSTA,1049025,1,0,Thu Mar  5 17:20:05 PST 2020,1583457605
ORANGE,3010232,3,0,Thu Mar  5 17:46:04 PST 2020,1583459164
LOS ANGELES,9818605,7,0,Thu Mar  5 17:46:04 PST 2020,1583459164
SANTA CLARA,1781642,14,0,Thu Mar  5 17:46:04 PST 2020,1583459164
SAN FRANCISCO,805235,3,0,Thu Mar  5 17:46:04 PST 2020,1583459164
SAN DIEGO,3095313,1,0,Thu Mar  5 17:46:04 PST 2020,1583459164
MARIN,252409,1,0,Thu Mar  5 17:46:04 PST 2020,1583459164
SONOMA,483878,2,0,Thu Mar  5 17:46:04 PST 2020,1583459164
SOLANO,413344,13,0,Thu Mar  5 17:46:04 PST 2020,1583459164
NAPA,136484,1,0,Thu Mar  5 17:46:04 PST 2020,1583459164
HUMBOLDT,134623,1,0,Thu Mar  5 17:46:04 PST 2020,1583459164
SACRAMENTO,1418788,2,0,Thu Mar  5 17:46:04 PST 2020,1583459164
ALAMEDA,1510271,2,0,Thu Mar  5 17:46:04 PST 2020,1583459164
WALLA WALLA,58781,1,0,Thu Mar  5 17:46:04 PST 2020,1583459164
PLACER,348432,2,1,Thu Mar  5 17:46:04 PST 2020,1583459164
SAN MATEO,718451,1,0,Thu Mar  5 17:46:04 PST 2020,1583459164
CONTRA COSTA,1049025,1,0,Thu Mar  5 17:46:04 PST 2020,1583459164
ORANGE,3010232,3,0,Thu Mar  5 18:10:17 PST 2020,1583460617
LOS ANGELES,9818605,7,0,Thu Mar  5 18:10:17 PST 2020,1583460617
SANTA CLARA,1781642,14,0,Thu Mar  5 18:10:17 PST 2020,1583460617
SAN FRANCISCO,805235,3,0,Thu Mar  5 18:10:17 PST 2020,1583460617
SAN DIEGO,3095313,1,0,Thu Mar  5 18:10:17 PST 2020,1583460617
MARIN,252409,1,0,Thu Mar  5 18:10:17 PST 2020,1583460617
SONOMA,483878,2,0,Thu Mar  5 18:10:17 PST 2020,1583460617
SOLANO,413344,13,0,Thu Mar  5 18:10:17 PST 2020,1583460617
NAPA,136484,1,0,Thu Mar  5 18:10:17 PST 2020,1583460617
HUMBOLDT,134623,1,0,Thu Mar  5 18:10:17 PST 2020,1583460617
SACRAMENTO,1418788,2,0,Thu Mar  5 18:10:17 PST 2020,1583460617
ALAMEDA,1510271,2,0,Thu Mar  5 18:10:17 PST 2020,1583460617
WALLA WALLA,58781,1,0,Thu Mar  5 18:10:17 PST 2020,1583460617
PLACER,348432,2,1,Thu Mar  5 18:10:17 PST 2020,1583460617
SAN MATEO,718451,1,0,Thu Mar  5 18:10:17 PST 2020,1583460617
CONTRA COSTA,1049025,1,0,Thu Mar  5 18:10:17 PST 2020,1583460617
ORANGE,3010232,3,0,Thu Mar  5 18:49:12 PST 2020,1583462952
LOS ANGELES,9818605,7,0,Thu Mar  5 18:49:12 PST 2020,1583462952
SANTA CLARA,1781642,14,0,Thu Mar  5 18:49:12 PST 2020,1583462952
SAN FRANCISCO,805235,3,0,Thu Mar  5 18:49:12 PST 2020,1583462952
SAN DIEGO,3095313,1,0,Thu Mar  5 18:49:12 PST 2020,1583462952
MARIN,252409,1,0,Thu Mar  5 18:49:12 PST 2020,1583462952
SONOMA,483878,2,0,Thu Mar  5 18:49:12 PST 2020,1583462952
SOLANO,413344,13,0,Thu Mar  5 18:49:12 PST 2020,1583462952
NAPA,136484,1,0,Thu Mar  5 18:49:12 PST 2020,1583462952
HUMBOLDT,134623,1,0,Thu Mar  5 18:49:12 PST 2020,1583462952
SACRAMENTO,1418788,2,0,Thu Mar  5 18:49:12 PST 2020,1583462952
ALAMEDA,1510271,2,0,Thu Mar  5 18:49:12 PST 2020,1583462952
WALLA WALLA,58781,1,0,Thu Mar  5 18:49:12 PST 2020,1583462952
PLACER,348432,2,1,Thu Mar  5 18:49:12 PST 2020,1583462952
SAN MATEO,718451,1,0,Thu Mar  5 18:49:12 PST 2020,1583462952
CONTRA COSTA,1049025,1,0,Thu Mar  5 18:49:12 PST 2020,1583462952
ORANGE,3010232,3,0,Thu Mar  5 19:16:22 PST 2020,1583464582
LOS ANGELES,9818605,7,0,Thu Mar  5 19:16:22 PST 2020,1583464582
SANTA CLARA,1781642,14,0,Thu Mar  5 19:16:22 PST 2020,1583464582
SAN FRANCISCO,805235,3,0,Thu Mar  5 19:16:22 PST 2020,1583464582
SAN DIEGO,3095313,1,0,Thu Mar  5 19:16:22 PST 2020,1583464582
MARIN,252409,1,0,Thu Mar  5 19:16:22 PST 2020,1583464582
SONOMA,483878,2,0,Thu Mar  5 19:16:22 PST 2020,1583464582
SOLANO,413344,13,0,Thu Mar  5 19:16:22 PST 2020,1583464582
NAPA,136484,1,0,Thu Mar  5 19:16:22 PST 2020,1583464582
HUMBOLDT,134623,1,0,Thu Mar  5 19:16:22 PST 2020,1583464582
SACRAMENTO,1418788,2,0,Thu Mar  5 19:16:22 PST 2020,1583464582
ALAMEDA,1510271,2,0,Thu Mar  5 19:16:22 PST 2020,1583464582
WALLA WALLA,58781,1,0,Thu Mar  5 19:16:22 PST 2020,1583464582
PLACER,348432,2,1,Thu Mar  5 19:16:22 PST 2020,1583464582
SAN MATEO,718451,1,0,Thu Mar  5 19:16:22 PST 2020,1583464582
CONTRA COSTA,1049025,1,0,Thu Mar  5 19:16:22 PST 2020,1583464582
ORANGE,3010232,3,0,Thu Mar  5 19:31:49 PST 2020,1583465509
LOS ANGELES,9818605,7,0,Thu Mar  5 19:31:49 PST 2020,1583465509
SANTA CLARA,1781642,14,0,Thu Mar  5 19:31:49 PST 2020,1583465509
SAN FRANCISCO,805235,3,0,Thu Mar  5 19:31:49 PST 2020,1583465509
SAN DIEGO,3095313,1,0,Thu Mar  5 19:31:49 PST 2020,1583465509
MARIN,252409,1,0,Thu Mar  5 19:31:49 PST 2020,1583465509
SONOMA,483878,2,0,Thu Mar  5 19:31:49 PST 2020,1583465509
SOLANO,413344,13,0,Thu Mar  5 19:31:49 PST 2020,1583465509
